review_id,sentence_id,sentence,aspects
44,0,"This shirt looks nice on the model, but it felt stiff and unflattering on me.",
44,1,"i am 5'5"", 135lbs, 34c, and the size 4 fit overall.",fit
44,2,i just didn't happen to like it on me.,
45,0,"This sweater was unflattering me, very boxy and did not fall on me like the model.",
45,1,"soft fabric and looks nice off, however this one went back.",quality
46,0,I'm so disappointed with the fit of this top.,fit
46,1,"it is extremely short, even for my 5'2 frame.",
46,2,sizing up will not fix the length.,fit
46,3,"too bad, because the shirt is cute.",
47,0,Tried small and medium and both were quite tight on the bottom.,fit
47,1,top is perfect.,
47,2,will return the bottoms and try the large.,fit
48,0,"Note: if you have a large chest, the seams hit in an unflattering spot.",fit
48,1,"nice shirt, just not great for the price.",price
49,0,I received this yesterday and the fit for me is so strange...to tight in the bust and the arms were to big for me..i am so bummed...the arms do not stay on my shoulders.,fit
49,1,i have many tops but maeve and they fit me well..this is the first one i have to return.,fit
49,2,"this top is made well and i do recommend, but it should be tried on before purchasing as it is pricey if it does not fit you!",fit
50,0,Beautiful victorian look blouse.,
50,1,runs large and overly blousy on me.,fit
51,0,I love the back detail but doesn't feel that comfortable on.,
51,1,i bought in green.,
51,2,it's fitted so get size larger if you plan to layer up.,fit
51,3,i'm 107 and bought xs size.,fit
51,4,i should have ordered the s.,
52,0,"Thought this looked so cute, especially for averting frame.",
52,1,"it arrived and was too large, the fabric felt super cheap, and the lace detail on the shoulders was very prominent....","fit,price,quality,shipping"
52,2,and not in a good way.,
52,3,returned.,
53,0,Purchased this sweater as a gift for my daughter and when i saw it wanted one for myself.,
53,1,it is a light to medium weight and works well with jeans or for work.,
53,2,the sweater is shaped smaller at bottom and is flattering.,
53,3,"the one problem was that when you raise your arms, the sweater also rises to expose your torso.",
53,4,it was returned.,
54,0,Ordered this vest in both the xs and pxs.,
54,1,"i liked the length and overall fit of the xs, however, i ended up returning both due to how the vest draped.",fit
54,2,the outer fabric is a bit more stiff which made the vest balloon out more then what i liked.,quality
54,3,"overall, it?s not a terrible vest but just not for me.",
55,0,Beautiful sweater coat!,
55,1,love that is easy to pop on & head out.,
55,2,i did have to go to a seamstress and have the button moved as it was to large and boxy around my waist area.,fit
56,0,"The fabric is so soft, but it was too roomy in the top and miid-section so it didn't flatter my body.",quality
57,0,Cute dress to throw on and go.,
57,1,fits pretty true to size except for the slip underneath.,fit
57,2,it's a little tight and i felt to short for the dress.,fit
57,3,i ended up wearing a full slip i had under it and that work great!,
58,0,This is a very cute dress.,
58,1,it was perfect before i washed it.,
58,2,"the problems i had after washing it was the outer cotton layer of the dress shrunk length wise while the inside black lining did not, so the black lining peeks out a good inch or two.",
58,3,"and since the dress is shorter i can't really wear it without using biker shorts, especially for the back of the dress since it's shorter there and if i bent over you could see everything.",
58,4,"i'm so disappointed in the quality because it is a very cute, ver",quality
59,0,"I love the style, but it didn't work for me.",
59,1,i ordered the r size.,fit
59,2,they were way too too long.,
59,3,"i generally wear size 26, and the r length works with most retailer pants.",fit
59,4,"with this particular pant, i could barely pull up the zipper.",
59,5,i'm not sure what happened bc i haven't gained any additional weight.,
59,6,"i am 5'2, and 110 lbs.",
59,7,"unfortunately, i had to return the pants.",
59,8,i think the design is for supermodels.,
59,9,maybe a petite size would have worked?,fit
59,10,the p was out of stock.,
59,11,good luck!,
60,0,This shirt fit really really big!,fit
60,1,"i ordered an xl but think i could get away with a l, if not a medium.",
60,2,"sadly, it's going back :( otherwise, it's high quality and a beautiful design.",quality
61,0,I just received these jeans and the fit it good.,fit
61,1,but they smell like moth balls and i have washed them twice already.,
61,2,"i hope it will go away, otherwise i wasted $100.",
62,0,I ordered this sweater in a medium with high hopes.,
62,1,"i'm 5'8"" and slender, but with a 36' bust, and the medium was too loose and long (sleeves fell past my wrists).",fit
62,2,"i would exchange this for a small for a better fit, but the color is not the white or cream color i was expecting.",fit
62,3,the color of this sweat is more of an oatmeal - not flattering on a far-skinned blonde.,
62,4,i think the color would look fantastic on someone with dark hair (as it does on the girl in the photo).,
62,5,the texture is great and i re,
63,0,I ordered this sweater in xxsp and the sweater is still very large on me.,fit
63,1,"it is definitely a sweater that is supposed to hang off of your shoulders, however, i'm finding that it wants to fall all the way off of me.",
63,2,the quality is nice.,quality
63,3,it is medium in weight.,
63,4,"it has a cottony feeling, but it not super soft.",
63,5,it looks way better on the model shown than in person to me.,
63,6,"i wanted to love it, but i only just like it.",
63,7,"i think others will like this if you are looking for a fun, loose look in a sweater.",fit
64,0,"I do think this blazer is comfortable and looks decently cute, but wasn't sure about the fabric.",quality
64,1,hte coloring is fun too.,
64,2,i decided to pass on it only because of the previous review regarding shedding.,
65,0,I ordered this quite nice cardigan.,
65,1,i received the sweater promptly (yay fast shipping!) but never received the belt to it.,shipping
65,2,"i tried emailing about it, but didn't get a response.",
65,3,the sweater really is the softest thing ever but it will not close without the belt and trying to use a different belt just doesn't work.,
65,4,"i hope to receive the belt soon, because i'd really like to wear this a lot this winter.",
66,0,"While this top is pretty, it's very unflattering.",
66,1,it just looks so boxy on me that it makes me look heavier.,
66,2,"too bad, because i really wanted to like it.",
67,0,"These weren't what i expected, but i kind of really like them.",
67,1,"they have a very high rise, and so they end up being high waisted.",
67,2,the fabric is stretchy so they are extremely comfortable.,quality
67,3,"however, the fabric is very stretchy, and i'm not sure i can wear them to work.",quality
67,4,but they're a little fancy for the weekend.,
67,5,the color is more of a washed out coal than pure black.,
67,6,"all things i can work with, but they are a little different than i imagined.",
67,7,they are quite long -- i'm 5'8 and will likely have to,
68,0,I wanted to love this dress.,
68,1,i am not comfortable wearing dresses much above the knee and i liked the length and the way this looks on the model.,
68,2,"however, in person this dress is cut like a sack.",
68,3,"it is not tapered at all in the waist and there is just too much fabric when you cinch the belt, at least on me.",quality
68,4,"it was oddly shapeless, even with the belt.",
68,5,it seemed a size too large.,fit
68,6,i ordered the xxsp.,
68,7,"for reference i am 5'1"" and 107 lbs.",
68,8,i ordered the neutral dress and i really like the fabric and c,quality
69,0,"The arm slits are actually subtle, and don't gape open.",
69,1,"the chiffon type pleats are lovely, but the cotton material they overlay appears cheap and isn't dressy enough for my work.","price,quality"
70,0,The idea of this dress is lovely.,
70,1,the fabric is pleasing to the touch.,quality
70,2,the print manages to be eye catching but understated.,
70,3,i don't know my exact measurements but i typically wear an extra small and i rarely have fit issues with off the rack clothing.,fit
70,4,i read the other reviews about the odd fit but decided to take a chance.,fit
70,5,i ordered an extra small in this dress and the bottom half fits perfectly.,fit
70,6,the top fits poorly.,fit
70,7,i have a fairly athletic build but it is a bit too large for my shoulders.,"fit,quality"
70,8,how,
71,0,I love the design of this and the pattern!,
71,1,it's comfy but a bit too much side boob for actually swimming.,
71,2,"i like a bit more coverage, the front has great coverage but on the side...",
71,3,whoa!!!,
72,0,"I fell in love instantly...but...upon looking in the mirror, it is 100 percent see through.",
72,1,at least the black is...,
72,2,i love it enough that i am going to try to put a cami underneath.,
72,3,"however, that mayn't work.",
72,4,"the shirt is lovely in and of itself, but at 48, i don't need a see through shirt.",
72,5,it is also defiantly about a size larger that expected.,fit
72,6,so size down.,fit
72,7,almost so good!,
73,0,Another shirt i really wanted to love.,
73,1,"i adore green but so few tops are made in this color. (please make more!!) however, this shirt didn't work for me.",
73,2,i think it's a matter of where your curves live.,
73,3,"the shirt was true to size, but my boobs meant i was showing more cleavage than the model, and the top part felt more like a bib than embroidery.",fit
73,4,sad coz it is lovely and feels lovely on.,
73,5,probably a great shirt for different body types.,
73,6,would love to see more green clothing....,
74,0,I had to call so many stores to track this shirt down and in the end it wasn't worth it.,price
74,1,i got an xs and it was quite baggy.,
74,2,i never buy petite shirts because i feel like they are too short but in this case i think the shirt would have been perfect in whatever the smallest petite size is.,fit
74,3,for someone who's bigger i'd definitely check this shirt out.,
75,0,I ordered this dress online in order to get a petite size and am very disappointed.,fit
75,1,"as other reviewers have mentioned, the fabric overlay is very different in person than it appears in the online pictures.",quality
75,2,the dress is much more casual and looks cheaply made in person.,
75,3,"as for sizing, i ordered the 2p based on other reviewers' comments about it running small.",fit
75,4,"the 2p fit me fine, although it was very fitted in the chest and i am very small chested #32b#.",fit
75,5,i can definitely see that being an issue,
76,0,Love the fabric and it seemed warmed.,quality
76,1,"but as other reviewers mentioned, the neckline was awkward.",
77,0,Not in love with this one.,
77,1,the fabric is thin and seems cheap...,"price,quality"
77,2,it seems overpriced even on sale.,
77,3,and it runs a bit small along the bust.,fit
77,4,"i could maybe get away with it without a bra, but after 3 kids, braless isn't my best look.",
77,5,and i don't think the print is a pretty in person as it is online - can't quite put my finger on why...,
77,6,maybe a little darker in person.,
77,7,"that said, the fit is flattering.",fit
77,8,"the cinched waist is lovely, and the skirt is nice and flowy.",
77,9,"even so, this one is going back.",
78,0,"Was not flattering on my body - i have a fuller figure, and this just made me look like i was pregnant.",
79,0,There is no possible bra to wear with this top.,
79,1,after one washing the neck felt funky.,
79,2,the pink color is very light.,
79,3,it's long enough for leggings.,
79,4,my shirt is a high hemline on one side than the other.,
79,5,i'll wear it but wish the neck wasn't so funky.,
80,0,This cardigan is very cute in the picture and i really wanted to love it but it just didn't seem worth the price.,price
80,1,the material is kind of itchy to me and i wasn't a huge fan of the wide edges in the front.,quality
80,2,the colour is very nice and feminine.,
81,0,"This shirt arrived today, and i was surprised how short it is.",shipping
81,1,not a tunic at all.,
81,2,"i wonder if the lengths on these vary, and if i order it again, it would be a different length.",
81,3,"i ordered my normal size, xs petite.",fit
81,4,"i'm 5-2"", so this should have been a tunic on me.",
81,5,"perhaps if i see this shirt in the store, i'll try on the regular length.",
81,6,i'm returning the petite!,
82,0,I love the style and the look of this sweater.,
82,1,i wanted to love it and keep it but could not because the itchiness was too much.,
82,2,"the style looks so comfortable and easy going, but it was not, it was clingy around the waist and backside.",
82,3,"for reference, i am 5ft 4in and 128b and i ordered the small - the sleeves were too long on me, not ""cool"" long like some other sweaters this season.",fit
83,0,"This top is really cute online, but that's about it.",
83,1,"it runs large, but even if i sized down the ruffles were a bit much and the top was a little boxy surprisingly.",fit
84,0,I love pilcros and tried everything to get these to work.,
84,1,"one size down, two sizes down, no matter what, they just don't look right.",fit
84,2,the droopy look didn't work for me.,
85,0,I had been eyeing this top for a while so i was so happy to see it go on sale!,
85,1,i was so excited that i went to my local retailer to try to purchase it right away.,
85,2,unfortunately this top did not fit me right.,fit
85,3,"on the model it looks adorable, on me it was frumpy & ugly.",
85,4,the petite is sold out so i tried a regular medium (i'm usually in-between a medium & a large) & it fit me big & just didn't do anything to my figure.,fit
85,5,i agree with the other reviewers that the bow was too thin & flimsy & needed to be,
86,0,This t-shirt is uniquely designed and it fit well.,fit
86,1,unfortunately within an hour it shed all over.,
86,2,i had white fuz all over my arms and pants.,
86,3,i was very disappointed.,
87,0,This was my absolute favorite top before it transferred dye onto the driver's seat in my car. >:-( there is nothing in the language of the care tag which advises to wash before wearing because of the possibility of dye transfer to other surfaces.,
87,1,"the care instructions say that is is washable with like colors and, in fact, recommends dry cleaning.",
87,2,really?,
87,3,and dry cleaning will remove all of that excess dye?,
87,4,don't think so.,
87,5,"after i discovered the dye transfer on my car seat, i washed the top in a",
88,0,"First, let me start out by giving a reference.",
88,1,"i am 5'1"", 138lbs, 34dd, 30, 38.",
88,2,"i usually take a size 8 in maeve, esp if there is no give.",fit
88,3,i bought a regular size 6.,fit
88,4,first the good: the design.,
88,5,it is classy.,
88,6,it will keep boobies (the ones of the larger side) in place.,
88,7,this is amazing as there isnt really a way to wear a bra with with dress.,
88,8,it is slimming and i have hips.,
88,9,"the bad: surprisingly, the fabric gets dirty super easy.",quality
88,10,i have no idea why everything clings to it.,
88,11,i got my dress f,
89,0,Ok so this top is as cute in person as it is online.,
89,1,runs very small as theres no stretch or give in fabric.,"fit,quality"
89,2,i normally wear 12 and i couldnt even halfway get this on lol.,
89,3,i may consider a 14-16 but the stores didnt have this yet to try on.,
89,4,the ladies at the counter were crushing on this top though!,
89,5,if you can find your fit this top is great for layering!,fit
90,0,"I'm 5'8"" and 130 and this made me look huge.",
90,1,it was a small but too billowy.,fit
90,2,"it is pretty, nice fabric and well made but i returned.",quality
91,0,"Love this, but the one thing that made me buy this is that if you look at the pic, the girl has her hand in a pocket - there is no pocket!!!",
91,1,which makes me bring the rating down - some one else had noted that the v is deep - they are very right - be prepared to shift the shirt lots unless you wear something under.......,
91,2,it is- other than that i really like it,
92,0,I actually love this dress.,
92,1,the colors on the dark gray are mesmerizing.,
92,2,the design of the placket adds a special touch to the look.,
92,3,my issue is the way it looks on my body--not flattering.,
92,4,i already have a squarish apple (squarple?!) body and the cut emphasizes this more.,
92,5,"i was hoping the fabric would hang on me the same way the ivory dress on the curly haired model does, so i sized up.","fit,quality"
92,6,"all this did was make me look wider, especially at the shoulders.",
92,7,the drawstring at the elastic makes,
93,0,Its just ok.,
93,1,the bodice is fitted and this dress runs tts.,fit
93,2,it does have a little more poof on the skirt part of the dress than it looks on the model.,
93,3,"at this point in my life when i buy a dress i have to say right away ""i love it"" and i just didn't.",
93,4,"my husband looked and said it is just a ""blah"" color on me.",
93,5,so that maybe part of it.,
93,6,"the fabric is nice, doesn't seem inexpensive and the lining is soft and falls nicely underneath the lace.",quality
93,7,"i am 5'("" and the dress does fall exactly as it is shown o",
94,0,I tried this sweater on in the store.,
94,1,i love the design and was hoping it would look as good on me as it does on the model.,
94,2,first off i should point out that the navy color in the featured photo looks much lighter than the sweater does in person.,
94,3,some of the photos accurately represent how dark the blue is (it almost looks black) but the featured photo shows it more like a medium navy.,
94,4,"secondly, anyone looking to purchase should know it is very warm.",
94,5,if you are buying to wear mostly indoors you,
95,0,The material looked much nicer in the online picture.,quality
95,1,also- there are pockets which added a bulk to it that was not flattering on me.,
96,0,"I really like the look of these socks, and have become obsessed we over-the-knee socks for winter this year.",
96,1,they are very tick which is nice for keeping warm and for durability for a long lasting product.,quality
96,2,my only complaint is that they are very difficult to get over the knee.,
96,3,"this can be a great thing, because they certainly do stay put-which is a huge problem with over-the-knee socks.",
96,4,"however, by the end of the day i was pretty sure i was going to lose a leg from poor circulation.",
96,5,i am still,
97,0,This top is for someone flat chested and skinny.,
97,1,"i really like the styling, color, fabric and everything except that it's not for my body type.",quality
97,2,i am a 36dd and have a little bit of a stomach...,
97,3,so it makes me look fat from the sides.,
97,4,the pictures taken on the model are from the front and back - but i will bet she would still look good in it from the sides!,
97,5,will be returning it.,
98,0,Like a previous reviewer mentioned the jeans do not necessarily look like the one in the photo.,
98,1,i first ordered them in my regular size and also had to notice that they are cut like men's jeans with legs so skinny that i could only force them over my calves.,fit
98,2,"the embroiding is beautiful, but it also stops the material from stretching, so the the super skinny legs are a real problem.",quality
98,3,"also, they are not as intensely stone washed as shown in the picture.",
98,4,i decided to order them again one size bigger,fit
99,0,I bought this in black.,
99,1,it's a great long length.,
99,2,i have long arms so the sleeve length is great.,
99,3,it's really soft.,
99,4,only issue is seems to sag a little in the middle instead of being flowy.,
99,5,overall a good tunic.,
100,0,I really was looking forward to this piece but unfortunately it was too small to even pass through my head nevertheless i couldn't even get both arms in.,fit
100,1,"i got a size small and probably needed a large; but as far as the quality and color, it's really pretty!","fit,quality"
100,2,just go up a size or two if anything and try it out.,fit
101,0,I couldn't wait to get this dress from the online order.,
101,1,"the fabric looked so interesting to me - linen, appliquã©, pockets, raw neckline.",quality
101,2,the dress looks sort of straight up and down on the model but in my opinion it's like a little a line tent.,
101,3,the top runs very narrow and i could barely get it over my head.,
101,4,"i'm going to return it and try for a medium, for reference i am 5'4""  135 and usually wear a six or a small.",fit
102,0,I had been eyeing this top for weeks.,
102,1,"it's look so beautiful on the model, however, not great on me.",
102,2,material is fab.,quality
102,3,the tee is way shorter than it appears online and there is too much flutter material.,quality
103,0,Wow was this top huge on me!,
103,1,"i am usually a large, but lean towards xl when things don't have stretch.",fit
103,2,i sized up out of fear that my bust couldn't squeeze into a large (36dd) and i didn't want the buttons in the back to gape.,fit
103,3,when i took this out of the package (i purchased the blue) i knew right away it was way too big.,shipping
103,4,looked like it could fit my husband.,fit
103,5,"the sides poofed out so far, i looked ridiculous (if you look at the photos, the model is trying very hard to control the poofiness with he",
