row_index,sentence_id,aspect,sentence,proxy_label,rating,label_source,sent_pred,teacher
22,3,price,"second of all, the tulle feels and looks cheap and the slip has an awkward tight shape underneath.",negative,2,rating,0,doc+sentence_consensus
25,1,quality,"im 5'5"" and there was atleast 5"" of material at my feet.",negative,3,model_relabel,0,doc+sentence_consensus
26,1,fit,this coat is not true to size and made me look short and squat.,negative,2,rating,0,doc+sentence_consensus
27,2,quality,fabric is thick and good quality.,positive,4,rating,2,doc+sentence_consensus
29,0,fit,This sweater is so comfy and classic - it balances a quirky hand-knit look with a beautiful color and practical fit.,positive,5,rating,2,doc+sentence_consensus
29,4,fit,it's warm but still thin enough to fit under a jacket or coat.,positive,5,rating,2,doc+sentence_consensus
31,1,fit,the stripes are brighter and the fit more flattering.,positive,5,rating,2,doc+sentence_consensus
31,4,fit,i paired it with a collarless loose navy blazer,positive,5,rating,2,doc+sentence_consensus
33,6,price,"super thin, itchy, doesn&#39;t drape very well, and feels cheap (made in china).",negative,2,rating,0,doc+sentence_consensus
34,1,quality,the color is great and the fabric is super soft.,positive,5,rating,2,doc+sentence_consensus
37,0,fit,"Just ordered this in a small for me (5'6"", 135, size 4) and medium for my mom (5'3"", 130, size 8) and it is gorgeous - beautifully draped, all the weight/warmth i'll need for houston fall and winter, looks polished snapped or unsnapped.",positive,5,rating,2,doc+sentence_consensus
38,1,fit,sizing is accurate.,positive,5,rating,2,doc+sentence_consensus
41,2,fit,i bought my usual medium and i found that it fits tight across my chest.,positive,5,rating,2,doc+sentence_consensus
41,4,fit,if i bought again i would size up.,positive,5,rating,2,doc+sentence_consensus
43,1,quality,really sheer light fabric.,positive,4,rating,2,doc+sentence_consensus
43,4,fit,"i ordered the size 0 and it's a nice oversized fit for my 5'3"" 125 pounds.",positive,4,rating,2,doc+sentence_consensus
44,3,fit,"a little dressier alternative to a plain tee and reasonably priced for retailer. 5'8"""" and i generally wear a 6, the small fit well.",positive,5,rating,2,doc+sentence_consensus
45,1,fit,the fit on the model looked a little loose but when i got mine it seemed a bit tight!,positive,4,rating,2,doc+sentence_consensus
45,2,fit,so i took it back to the store & ordered a larger size.,positive,4,rating,2,doc+sentence_consensus
45,3,price,for the sale price this is a great top.,positive,4,rating,2,doc+sentence_consensus
47,0,quality,"Very comfortable, material is good, cut out on sleeves flattering",positive,5,rating,2,doc+sentence_consensus
49,2,fit,"i'm rather busty up top and the medium fit well, a small probably would've fit better but it's still super adorable.",positive,5,rating,2,doc+sentence_consensus
50,1,fit,"it fits well, nice print and it's comfortable.",positive,4,rating,2,doc+sentence_consensus
51,2,fit,"i'm 5'7"", 140 pounds and the small was a perfect fit for me.",positive,5,rating,2,doc+sentence_consensus
52,0,quality,"Love the color and style, but material snags easily",neutral,3,model_relabel,1,doc+sentence_consensus
55,2,fit,i am a 36d and the medium was a perfect fit.,positive,5,rating,2,doc+sentence_consensus
58,0,fit,"I got this in the petite length, size o, and it fit just right.",positive,4,rating,2,doc+sentence_consensus
59,0,fit,I've been looking for bralettes that provide some support but not binding/tight for night time and casual wear.,positive,4,rating,2,doc+sentence_consensus
60,2,fit,"size small worked for me, and since i'm tall it fell right to my ankle which is perfect for me.",positive,5,rating,2,doc+sentence_consensus
65,3,quality,just make sure you aren't doing/wearing anything that will rub it continuously since the fabric is delicate,positive,4,rating,2,doc+sentence_consensus
66,5,quality,i almost think i could've gotten a m in this because there is a lot of extra fabric at the chest which is usually never the issue for me,positive,4,rating,2,doc+sentence_consensus
67,1,fit,"i kept eyeing it online and wavering on size, since my post-baby body is a little wonky.",positive,5,rating,2,doc+sentence_consensus
67,3,fit,"so, i would say it does run just a little large.....",positive,5,rating,2,doc+sentence_consensus
70,3,quality,the craftsmanship is lovely and fabric is so natural and handwoven looking.,positive,4,rating,2,doc+sentence_consensus
72,1,fit,"there's not much stretch to the fabric so it is fitted to my chest, but not in an uncomfortable way.",positive,5,rating,2,doc+sentence_consensus
72,1,quality,"there's not much stretch to the fabric so it is fitted to my chest, but not in an uncomfortable way.",positive,5,rating,2,doc+sentence_consensus
73,1,fit,it is loose and comfortable.,positive,4,rating,2,doc+sentence_consensus
73,3,fit,"it runs a little large so size down if you want a more tailored fit. 1 criticism, it catches on sharp jewelry or belts and can pull if you are not careful.",positive,4,rating,2,doc+sentence_consensus
74,2,fit,i sized down to get a more fitting look and really made a difference for me in style.,positive,5,rating,2,doc+sentence_consensus
74,4,fit,it looks really cute fitted and a bit sexy even.,positive,5,rating,2,doc+sentence_consensus
75,1,quality,"i am petite and only 5'2"", so usually shirts with a lot of fabric swallow me whole but this one was still cute.",positive,5,rating,2,doc+sentence_consensus
75,2,quality,"there is a lot more fabric than the picture lets on, but i think it is still super cute and flattering.",positive,5,rating,2,doc+sentence_consensus
75,3,fit,i would definitely check the size chart and read comments to see if someone with your same size description has recommended a specific size for your body type.,positive,5,rating,2,doc+sentence_consensus
76,0,fit,I would have loved this dress if the bust and waist were just a little more fitted.,positive,4,rating,2,doc+sentence_consensus
76,2,fit,fit perfectly on hips.,positive,4,rating,2,doc+sentence_consensus
76,4,fit,i would have definitely kept it if it were a better fit.,positive,4,rating,2,doc+sentence_consensus
78,0,fit,I usually size up with this brand.,positive,5,rating,2,doc+sentence_consensus
78,1,fit,small was perfect for me at 135lbs.,positive,5,rating,2,doc+sentence_consensus
78,4,fit,it wears a little long and drapey but a little tight where it rolls up in the arms.,positive,5,rating,2,doc+sentence_consensus
79,0,quality,"This dress is adorable - it's a perfect casual look for summer and the quality is nice with the lining (though still overpriced, in my opinion).",positive,4,rating,2,doc+sentence_consensus
79,1,fit,"the tie detail is somewhat adjustable, and i found my normal size s to fit fine (5'7, 128#).",positive,4,rating,2,doc+sentence_consensus
80,0,fit,I am usually a petite 6 but since this dress did not come in petites i tried on 4 and it fit.,positive,5,rating,2,doc+sentence_consensus
81,3,quality,soft material,positive,5,rating,2,doc+sentence_consensus
83,1,quality,the quality is wonderful and the greenish blue color is very unique.,positive,5,rating,2,doc+sentence_consensus
83,6,fit,my only wish is that it would come in a petite size as it's a touch big at the shoulders and neckli,positive,5,rating,2,doc+sentence_consensus
84,0,fit,I received this shirt in my typical xs and it fits perfectly.,positive,3,model_relabel,2,doc+sentence_consensus
86,0,fit,"I tried this on from the sale section, and they only had a 2 (i usually do 0), and surprisingly, that size was the right fit.",positive,4,rating,2,doc+sentence_consensus
86,1,fit,"it is fitted, with just enough room to eat :-) 
te blue is a light blue, almost neutral, with the white embroidery, i think it looked stylish, and decided to keep it.",positive,4,rating,2,doc+sentence_consensus
86,2,fit,"the peplum part hit just in the right spot, i am short (petite) but my torso is normal size...",positive,4,rating,2,doc+sentence_consensus
87,0,fit,"I debated n that as i think it looks loose on the model, but if i was to tighten it, it looks a lot more flattering...",positive,4,rating,2,doc+sentence_consensus
89,3,quality,"gorgeous fabric and top, but not for me.",positive,4,rating,2,doc+sentence_consensus
90,2,fit,i am 5 foot 6 and a little curvy with a 38 c bust and i got a size 10.,positive,4,rating,2,doc+sentence_consensus
90,3,fit,it fits well although it is difficult to zip up because the material has no give.,positive,4,rating,2,doc+sentence_consensus
90,3,quality,it fits well although it is difficult to zip up because the material has no give.,positive,4,rating,2,doc+sentence_consensus
91,3,fit,"the fabric does not stretch at all, but i still think it fits tts.",positive,5,rating,2,doc+sentence_consensus
91,3,quality,"the fabric does not stretch at all, but i still think it fits tts.",positive,5,rating,2,doc+sentence_consensus
91,4,fit,"if you have a very large chest you may want to go up a size, but otherwise i would order your normal size.",positive,5,rating,2,doc+sentence_consensus
92,6,quality,"with that aside, it seriously is a great quality shirt with a beautiful",positive,4,rating,2,doc+sentence_consensus
93,1,quality,it has and elegant cut and yet is a casual fabric.,positive,5,rating,2,doc+sentence_consensus
94,1,fit,"it fit ok, but had no shape and was not flattering.",negative,1,rating,0,doc+sentence_consensus
98,1,fit,had i tried this on in person i may have bought it in a small instead of a m.,positive,4,rating,2,doc+sentence_consensus
99,2,fit,just received and it fits nicely-a little on the big side but i believe it looks better that way.,positive,5,rating,2,doc+sentence_consensus
100,0,price,The fabric felt cheap and i didn't find it to be a flattering top.,negative,2,rating,0,doc+sentence_consensus
100,0,quality,The fabric felt cheap and i didn't find it to be a flattering top.,negative,2,rating,0,doc+sentence_consensus
103,2,fit,but as another reviewer said--it runs small.,positive,4,rating,2,doc+sentence_consensus
104,0,fit,I ordered ivory in xl because this brand tends to run tight if you're well endowed.,positive,4,rating,2,doc+sentence_consensus
105,2,fit,"it fits true to size, as i normally wear a small in all retailer however it is the slightest bit tight in the shoulders.",positive,5,rating,2,doc+sentence_consensus
107,0,quality,This is so thin and poor quality.,negative,1,rating,0,doc+sentence_consensus
108,1,fit,it is very cute and fit well but the fabric was very thin (partially lined which is a plus) and the hem line coming up on the sides made it just too short for me.,neutral,3,model_relabel,1,doc+sentence_consensus
108,1,quality,it is very cute and fit well but the fabric was very thin (partially lined which is a plus) and the hem line coming up on the sides made it just too short for me.,neutral,3,model_relabel,1,doc+sentence_consensus
109,2,fit,i find that this top runs true to size or even generous!,positive,5,rating,2,doc+sentence_consensus
109,4,fit,"i usually wear a small in hh brand and this one was true to fit (5""2"", broad shoulders, 120 lb)",positive,5,rating,2,doc+sentence_consensus
110,1,fit,it runs true to size.,positive,5,rating,2,doc+sentence_consensus
111,5,quality,"the fabric looks droopy and laundered and is not crisp, stiff or new.",negative,2,rating,0,doc+sentence_consensus
111,6,quality,i am very disappointed by the quality of the item that i received.,negative,2,rating,0,doc+sentence_consensus
113,2,fit,"i'm 5'4"", 120#, 34d and this is a size 36.",positive,4,rating,2,doc+sentence_consensus
113,3,fit,i usually wear a size s or 4 with most retailer stuff.,positive,4,rating,2,doc+sentence_consensus
114,2,quality,the quality of the linen fabric is very nice.,positive,5,rating,2,doc+sentence_consensus
114,4,fit,i found it to run true to size.,positive,5,rating,2,doc+sentence_consensus
114,5,fit,"those with a smaller bust might want to go down a size, but the tie in the front can be adjusted.",positive,5,rating,2,doc+sentence_consensus
115,3,fit,it was very tight and pulled funny across the chest (size 32/a).,negative,2,rating,0,doc+sentence_consensus
116,3,fit,the fit is true to size and the 'stressed' velvet fabric is current for this season.,positive,5,rating,2,doc+sentence_consensus
116,3,quality,the fit is true to size and the 'stressed' velvet fabric is current for this season.,positive,5,rating,2,doc+sentence_consensus
118,1,fit,i normally wear a small but they only had mediums and it fit fine( i like it tied).,positive,5,rating,2,doc+sentence_consensus
119,1,fit,i have a large chest which sometimes makes this fit look like a tent but this fabric drapes nicely.,positive,5,rating,2,doc+sentence_consensus
119,1,quality,i have a large chest which sometimes makes this fit look like a tent but this fabric drapes nicely.,positive,5,rating,2,doc+sentence_consensus
120,0,fit,"After reading the previous reviews, i ordered a size larger.",positive,5,rating,2,doc+sentence_consensus
120,2,fit,it fits perfectly!,positive,5,rating,2,doc+sentence_consensus
122,4,fit,"however, i'm a 36c and found that the arm/shoulder part so large and bulky that is made me look bigger on top.",neutral,3,model_relabel,1,doc+sentence_consensus
123,1,quality,"let me be clear that this is a beautiful, comfortable piece of clothing- when you put it on it feels thick and of very good quality.",positive,4,rating,2,doc+sentence_consensus
124,2,fit,it definitely runs a little large.,positive,5,rating,2,doc+sentence_consensus
124,3,fit,i usually wear a small or a zero and i can wear a small wth a large sweater underneath no problem.,positive,5,rating,2,doc+sentence_consensus
124,4,fit,i might have wanted an extra small but i just stuck with the small because i needed the coat already.,positive,5,rating,2,doc+sentence_consensus
127,3,fit,pair it with a fitted piece on the bottom and no one will think that you are actually needing that much material to cover anything!,positive,4,rating,2,doc+sentence_consensus
127,3,quality,pair it with a fitted piece on the bottom and no one will think that you are actually needing that much material to cover anything!,positive,4,rating,2,doc+sentence_consensus
128,0,fit,"It's ok, fit doesn't wow me because of my body.",neutral,3,model_relabel,1,doc+sentence_consensus
131,2,quality,there's no mistaking quality when you look at this piece!,positive,5,rating,2,doc+sentence_consensus
131,3,fit,"i bought the medium for my 130#, 34f, size 8 blouse/tee frame.",positive,5,rating,2,doc+sentence_consensus
132,2,quality,"a great piece for polished but casual style, and the fabric has a nice, soft suede-like finish.",positive,4,rating,2,doc+sentence_consensus
133,3,fit,i am 5 3 and could totally size down to a s but even at my height it would be too short.,positive,4,rating,2,doc+sentence_consensus
134,5,quality,the fabric is decent and the weigh,positive,4,rating,2,doc+sentence_consensus
135,5,fit,i sized down.,positive,5,rating,2,doc+sentence_consensus
139,2,fit,fit was true to size.,positive,3,model_relabel,2,doc+sentence_consensus
142,2,quality,the fabric is nice and the colors are pretty and cheerful for this spring/summer !!,positive,5,rating,2,doc+sentence_consensus
143,2,fit,"i'm 5'7 and 138# and ordered a size 4 (i usually size up to a 6 with retailer pencil skirts.) a 6 probably would have fit as well, especially in the waist but didn't want it too big in the hips.",positive,5,rating,2,doc+sentence_consensus
144,5,fit,"the fit is true to size, and the delicate details are just lovely.",positive,5,rating,2,doc+sentence_consensus
146,2,fit,"runs small i ordered a 12 i'm usually a 10, but still a little snug.",positive,4,rating,2,doc+sentence_consensus
147,1,quality,"the fabric is a bit tacky-looking in person, the cut is odd and it's just not me.",neutral,3,model_relabel,1,doc+sentence_consensus
148,2,fit,if you have large bust it is a little divulging.,neutral,3,model_relabel,1,doc+sentence_consensus
152,0,fit,So  disappointed that no where in the limiting did it mention this suit is australian in size!!,negative,3,model_relabel,0,doc+sentence_consensus
152,2,fit,gutted that i have to return this suit because of this sizing issue.,negative,3,model_relabel,0,doc+sentence_consensus
153,3,fit,it fits great and is way way prettier in person !,positive,4,rating,2,doc+sentence_consensus
154,3,fit,"i'm 5.3 and about 130 pounds and i almost always wear a size 6, but the six was too big.",positive,4,rating,2,doc+sentence_consensus
154,4,fit,i'd recommend sizing down.,positive,4,rating,2,doc+sentence_consensus
155,0,fit,Love everything about this beautiful coat except the way it fits on me.,positive,4,rating,2,doc+sentence_consensus
156,0,quality,The title says it all....this fabric of this top is both the best and worst part of the design.,negative,1,rating,0,doc+sentence_consensus
156,5,quality,"it could benefit from a lining, and that might have solved the problem of scratchy, itchy fabric.",negative,1,rating,0,doc+sentence_consensus
157,0,fit,My usual size 6 fits perfectly...,positive,4,rating,2,doc+sentence_consensus
159,0,quality,"I bought this and like other reviews, agree that the quality probably could be better, but i still love it enough to keep.",positive,4,rating,2,doc+sentence_consensus
160,0,fit,"I bought a petite, size 2.",positive,5,rating,2,doc+sentence_consensus
160,1,fit,"i am 5'3"", 111 lb - it fit perfect with a tiny bit of room.",positive,5,rating,2,doc+sentence_consensus
161,1,fit,it's light weight and i love that the top is a little more fitted and the bottom swings out.,positive,5,rating,2,doc+sentence_consensus
162,1,fit,"i was pleasantly surprised upon receiving this dress because i wasn't sure about the print size and colors when i saw it online, but the print is beautiful.",positive,5,rating,2,doc+sentence_consensus
162,5,quality,the fabric and overall q,positive,5,rating,2,doc+sentence_consensus
163,2,fit,i had to size up because the waist band was a little tight for comfort.,positive,5,rating,2,doc+sentence_consensus
164,0,fit,"I ordered this in xs, i'm 5'4"", around 115lbs, and it fits perfectly.",positive,5,rating,2,doc+sentence_consensus
164,1,quality,"the material is very soft, but not see-through, and the romper is well-made.",positive,5,rating,2,doc+sentence_consensus
165,2,quality,"the fabric is beautiful, and i loved the way they draped.",positive,4,rating,2,doc+sentence_consensus
165,4,quality,"these could be perfect for a hot summer evening dinner, because the fabric is very light and breezy.",positive,4,rating,2,doc+sentence_consensus
166,2,fit,i typically wear small or medium size and got the medium hoping for a little longer length.,positive,4,rating,2,doc+sentence_consensus
166,4,fit,of approx. 128 lbs...it fits very nicely .,positive,4,rating,2,doc+sentence_consensus
168,0,quality,Happy with this top- slightly thinner material than i was expecting but that'll be fine with our hot summers.,positive,4,rating,2,doc+sentence_consensus
168,3,fit,i do wear an tank underneath though bc the armholes are slightly large and you can see part of my bra.,positive,4,rating,2,doc+sentence_consensus
169,0,fit,Love the fit of this sweater!,positive,5,rating,2,doc+sentence_consensus
169,6,fit,runs true to size-im always a small and this fits perfectly roomy.,positive,5,rating,2,doc+sentence_consensus
171,0,fit,The colors are vivid and perfectly autumnal but the fit is a mess.,negative,2,rating,0,doc+sentence_consensus
171,1,fit,"it was overall too large, the waistline curves up in the front and then falls into small pleats which was maternityish, the waistband was thicker than the dress and sat away from my body and the material was a cheapish poly.",negative,2,rating,0,doc+sentence_consensus
171,1,quality,"it was overall too large, the waistline curves up in the front and then falls into small pleats which was maternityish, the waistband was thicker than the dress and sat away from my body and the material was a cheapish poly.",negative,2,rating,0,doc+sentence_consensus
172,3,fit,i found it true to size.,positive,5,rating,2,doc+sentence_consensus
172,4,fit,"typically i wear a medium or large, depending on the structure and the medium fit well.",positive,5,rating,2,doc+sentence_consensus
172,5,fit,a little more fitted on top and looser around the waist.,positive,5,rating,2,doc+sentence_consensus
174,1,fit,"colors are nice, there are subtle flowers with bright colors in the pattern, the fit is nice, the 0p fit snugly enough, i don't think there was much give but that was comfortable enough.",positive,4,rating,2,doc+sentence_consensus
175,5,fit,"i'm 5'7"" size 10-12 and the large fit just right.",positive,5,rating,2,doc+sentence_consensus
176,0,fit,"Beautiful color,, great quality, and great fit if you size up!",positive,4,rating,2,doc+sentence_consensus
176,0,quality,"Beautiful color,, great quality, and great fit if you size up!",positive,4,rating,2,doc+sentence_consensus
176,1,fit,i learned my lesson with previous purchases and sized up when i read it runs small.,positive,4,rating,2,doc+sentence_consensus
176,3,fit,it fits perfectly.,positive,4,rating,2,doc+sentence_consensus
178,2,quality,this shirt does not have the same quality as all my other retailer purchases.,negative,2,rating,0,doc+sentence_consensus
179,2,fit,it fits like a high waisted skirt would which is why i purchased the next size up.,positive,4,rating,2,doc+sentence_consensus
180,1,fit,the silhouette fits all sizes and shapes while providing a unique dress.,positive,5,rating,2,doc+sentence_consensus
182,0,fit,"My waist measures 28"" and the size 4 is a snug fit.",positive,4,rating,2,doc+sentence_consensus
182,3,quality,"i like that it's machine washable, and the quality looks good.",positive,4,rating,2,doc+sentence_consensus
183,0,quality,I love the fabric and color (i bought the green one).,positive,4,rating,2,doc+sentence_consensus
185,0,quality,"I love the color of this skirt, and the fabric is wonderful.",positive,5,rating,2,doc+sentence_consensus
185,1,fit,"it was a bit longer than anticipated, but fit well.",positive,5,rating,2,doc+sentence_consensus
186,2,fit,i should have sized down 2 sizes.,neutral,3,model_relabel,1,doc+sentence_consensus
187,4,quality,it is also a lovely fabric -- especially in the soft pink which i got.,positive,5,rating,2,doc+sentence_consensus
188,4,quality,the material is fabulous but i have not washed it yet so i am not sure if it is going to shrink (which i hope it doesn't because it is one of my favorite pieces).,positive,5,rating,2,doc+sentence_consensus
189,0,fit,"Unlike the other reviewers, i did not have any problem with the sizing, fit or length of this skirt.",positive,5,rating,2,doc+sentence_consensus
189,2,fit,for me it fit true to size.,positive,5,rating,2,doc+sentence_consensus
189,3,fit,"for reference i am 5'8"", 135 pounds and the size 6 fit perfectly.",positive,5,rating,2,doc+sentence_consensus
189,4,quality,i think the color is beautiful and the quality is good.,positive,5,rating,2,doc+sentence_consensus
192,0,fit,"Dang, i got a small and was still swimming in it.",neutral,3,model_relabel,1,doc+sentence_consensus
192,1,quality,"it's made of the fabric that increasingly seems to be the fabric of choice for all things t-shirty- soft and thin-ish, a bit translucent.",neutral,3,model_relabel,1,doc+sentence_consensus
193,0,price,Bought this item on sale and was very disappointed in the quality for the cost.,negative,3,model_relabel,0,doc+sentence_consensus
193,0,quality,Bought this item on sale and was very disappointed in the quality for the cost.,negative,3,model_relabel,0,doc+sentence_consensus
193,1,price,"fabric feels cheap, like it will snag easily and will stretch out quickly.",negative,3,model_relabel,0,doc+sentence_consensus
193,1,quality,"fabric feels cheap, like it will snag easily and will stretch out quickly.",negative,3,model_relabel,0,doc+sentence_consensus
195,1,fit,"i probably need a size 12, but then i fear it would be too short-waisted on me, for i am 5'10"".",positive,4,rating,2,doc+sentence_consensus
196,0,fit,I love the rich deep color and the style but once again this brand runs really small in the waist.,neutral,3,model_relabel,1,doc+sentence_consensus
196,3,quality,for me this skirt did not work but the color and softness of the fabric was a plus.,neutral,3,model_relabel,1,doc+sentence_consensus
202,0,fit,"Very pretty fabric and beautiful color, but i agree with the other reviewer here, the fit is a bit strange.",positive,4,rating,2,doc+sentence_consensus
202,0,quality,"Very pretty fabric and beautiful color, but i agree with the other reviewer here, the fit is a bit strange.",positive,4,rating,2,doc+sentence_consensus
202,1,fit,the waist is very small - need to size up at least one size for that to fit - while the rest fits nicely.,positive,4,rating,2,doc+sentence_consensus
203,3,fit,"because i loved the classic design i decided to give it another chance so i returned it for the next size up and fell in love, the open sleeve was a nice surprise with a touch if elegance.",positive,4,rating,2,doc+sentence_consensus
204,3,fit,it fit fine but could have been a little more snug around my top half.,positive,5,rating,2,doc+sentence_consensus
204,4,quality,i love the length and the fabric.!,positive,5,rating,2,doc+sentence_consensus
205,2,quality,the lack of quality and the disappointment in the quality equals a return.,negative,1,rating,0,doc+sentence_consensus
206,4,fit,"runs tts or small; if you're busty/broad shouldered, size up.",positive,5,rating,2,doc+sentence_consensus
206,5,fit,"it has a dreadful side zip, is fully lined and all synthetic fabric (boo!)  i purchased size 10p, my stats 36c/38-27-35/135#.",positive,5,rating,2,doc+sentence_consensus
206,5,quality,"it has a dreadful side zip, is fully lined and all synthetic fabric (boo!)  i purchased size 10p, my stats 36c/38-27-35/135#.",positive,5,rating,2,doc+sentence_consensus
207,0,fit,"Bought a large, could barely pull up over my butt.",negative,2,rating,0,doc+sentence_consensus
207,1,fit,runs extremely small.,negative,2,rating,0,doc+sentence_consensus
208,3,fit,size 6 fits me perfectly & looks pretty much on me as in the pic.,positive,5,rating,2,doc+sentence_consensus
210,1,fit,looks and fits as described.,positive,5,rating,2,doc+sentence_consensus
211,1,quality,"while i found other styles a bit too boxy or bulky for my short torso, this has a nice a-line shape that gave me a slim profile while still being forgiving, plus the detail up top is feminine and i liked not having fabric piled up around my neck.",positive,4,rating,2,doc+sentence_consensus
211,2,fit,"i am usually a small but wanted this to fit like the model so i sized up to a medium and voila, i am a model.",positive,4,rating,2,doc+sentence_consensus
212,2,quality,great quality too.,positive,5,rating,2,doc+sentence_consensus
213,2,quality,i especially love the weight of the fabric being on the light side.,positive,5,rating,2,doc+sentence_consensus
213,3,quality,won't have to worry about hot flashes like when wearing a thicker fabric!,positive,5,rating,2,doc+sentence_consensus
214,3,fit,"i am 5' 6"" 150 lbs, hourglass figure and typically purchase a small or medium (8-10) and chose a small for this dress.",positive,5,rating,2,doc+sentence_consensus
214,4,fit,i'd say it's still loose on me- which is what i prefer.,positive,5,rating,2,doc+sentence_consensus
216,2,fit,the are still tight all the way to the knee and then go out into a flattering flare-it is difficult to find the perfect fit on something like this-and paige has done a wonderful job for my body.,positive,5,rating,2,doc+sentence_consensus
217,0,quality,This top is really pretty and nice quality.,positive,5,rating,2,doc+sentence_consensus
217,1,fit,"runs big - i went down a size, and its perfect.",positive,5,rating,2,doc+sentence_consensus
218,0,fit,"So i love pilcro, i wear them all the time and usually size down because they ""grow"" after wearing them.",positive,4,rating,2,doc+sentence_consensus
218,2,quality,"the material feels really good, lightweight and the stripes are subtle but cute.",positive,4,rating,2,doc+sentence_consensus
219,1,quality,"the fabric hangs nicely and although it is lightweight, it is not too thin or see through.",positive,4,rating,2,doc+sentence_consensus
219,5,fit,i normally wear a size s in retailer tops and blouses,positive,4,rating,2,doc+sentence_consensus
220,2,fit,"otherwise, gorgeous, and waiat fits true to size.",positive,4,rating,2,doc+sentence_consensus
220,3,fit,"thighs a bit snug for musclea, but stretchy enough to fit.",positive,4,rating,2,doc+sentence_consensus
221,0,fit,"I tried on the petite size in my usual xs, adn i actually have to go down to xxs, i looked overtaken by the shirt.",positive,5,rating,2,doc+sentence_consensus
224,2,fit,"classic flattering fit from mother, with an element of edginess with the frayed hem.",positive,5,rating,2,doc+sentence_consensus
225,0,fit,I ordered this top in my usual size and am exchanging it for one size smaller.,positive,5,rating,2,doc+sentence_consensus
225,1,fit,"it runs very generous, and so the sizing is a little off.",positive,5,rating,2,doc+sentence_consensus
225,2,fit,"the style and quality are beautiful, so i am anxious to receive the smaller size.",positive,5,rating,2,doc+sentence_consensus
225,2,quality,"the style and quality are beautiful, so i am anxious to receive the smaller size.",positive,5,rating,2,doc+sentence_consensus
226,1,fit,very comfortable pair of crop pants but my calves are definitely feeling tight in there!,positive,5,rating,2,doc+sentence_consensus
227,0,fit,I got a small mauve.,positive,5,rating,2,doc+sentence_consensus
227,1,fit,"the fit is great and the length is perfect for me, just few inches above my knees.",positive,5,rating,2,doc+sentence_consensus
229,4,quality,"the material isn't too thick, so it's a nice lighter layer for fall/spring.",positive,5,rating,2,doc+sentence_consensus
230,0,fit,"I love the style of this top, and the longer length would be great with leggings and fitted shorts.",positive,3,model_relabel,2,doc+sentence_consensus
230,1,fit,it's somewhat fitted on the top yet it's a-line shape gives a full swing at the bottom.,positive,3,model_relabel,2,doc+sentence_consensus
231,0,fit,Ordered these online and they fit perfectly.,positive,4,rating,2,doc+sentence_consensus
