row_index,sentence_id,aspect,sentence,proxy_label,rating,label_source
14,6,quality,the delicate netting type fabric on the top layer of skirt got stuck in the zip,neutral,3,model_relabel
15,0,fit,"I took these out of the package and wanted them to fit so badly, but i could tell before i put them on that they wouldn't.",positive,4,rating
15,0,shipping,"I took these out of the package and wanted them to fit so badly, but i could tell before i put them on that they wouldn't.",positive,4,rating
15,3,fit,"the waist was way too small for my body shape and even if i sized up, i could tell they would still be tight in the waist and too roomy in the hips - for me.",positive,4,rating
15,5,quality,"sturdy, linen-like fabric, pretty color, well made.",positive,4,rating
16,0,quality,Material and color is nice.,neutral,3,model_relabel
16,1,fit,the leg opening is very large.,neutral,3,model_relabel
16,3,fit,"with a leg opening the size of my waist and hem line above my ankle, and front pleats to make me fluffy, i think you can imagine that it is not a flattering look.",neutral,3,model_relabel
17,5,fit,fits great.,positive,5,rating
18,2,fit,"i am 5' 5'', about 135 and the small fits great.",positive,5,rating
19,2,fit,i'm small chested and the top of this dress is form fitting for a flattering look.,positive,5,rating
20,2,fit,fits nicely!,positive,4,rating
20,4,fit,the tie can be front or back so provides for some nice flexibility on form fitting.,positive,4,rating
21,0,price,"I'm upset because for the price of the dress, i thought it was embroidered!",positive,4,rating
21,1,quality,"no, that is a print on the fabric.",positive,4,rating
21,4,fit,"i would say it is true to size, it is a tad bit big on me, but i am very tiny, but i can still get away with it.",positive,4,rating
21,8,price,"i keep going back and forth on it mainly because of the price, although the quality is definitely there.",positive,4,rating
21,8,quality,"i keep going back and forth on it mainly because of the price, although the quality is definitely there.",positive,4,rating
22,2,fit,i wouldn't have purchased it if i knew there was a side zipper because i have a large bust and side zippers are next to impossible for me.,negative,2,rating
22,3,fit,"second of all, the tulle feels and looks cheap and the slip has an awkward tight shape underneath.",negative,2,rating
22,3,price,"second of all, the tulle feels and looks cheap and the slip has an awkward tight shape underneath.",negative,2,rating
23,0,fit,Cute little dress fits tts.,neutral,3,model_relabel
23,4,price,i dont think it looks or feels cheap.,neutral,3,model_relabel
25,0,fit,"Loved the material, but i didnt really look at how long the dress was before i purchased both a large and a medium.",negative,3,model_relabel
25,0,quality,"Loved the material, but i didnt really look at how long the dress was before i purchased both a large and a medium.",negative,3,model_relabel
25,1,quality,"im 5'5"" and there was atleast 5"" of material at my feet.",negative,3,model_relabel
25,5,fit,im usually a large and the med fit better. 36d 30 in jeans,negative,3,model_relabel
26,1,fit,this coat is not true to size and made me look short and squat.,negative,2,rating
26,4,fit,the buttons need to be moved at least three inches in for a nicer fit.,negative,2,rating
27,2,quality,fabric is thick and good quality.,positive,4,rating
29,0,fit,This sweater is so comfy and classic - it balances a quirky hand-knit look with a beautiful color and practical fit.,positive,5,rating
29,4,fit,it's warm but still thin enough to fit under a jacket or coat.,positive,5,rating
31,1,fit,the stripes are brighter and the fit more flattering.,positive,5,rating
31,3,fit,"this brand has always run small for me, i am 5'8 about 140lbs and carry some chubbiness in the belly.",positive,5,rating
31,4,fit,i paired it with a collarless loose navy blazer,positive,5,rating
33,2,fit,the fit wasn&#39;t so much the issue for me.,negative,2,rating
33,3,quality,the quality of the wool is subpar.,negative,2,rating
33,6,price,"super thin, itchy, doesn&#39;t drape very well, and feels cheap (made in china).",negative,2,rating
33,7,price,"i got it on sale, but still not worth what i paid.",negative,2,rating
34,1,quality,the color is great and the fabric is super soft.,positive,5,rating
37,0,fit,"Just ordered this in a small for me (5'6"", 135, size 4) and medium for my mom (5'3"", 130, size 8) and it is gorgeous - beautifully draped, all the weight/warmth i'll need for houston fall and winter, looks polished snapped or unsnapped.",positive,5,rating
38,1,fit,sizing is accurate.,positive,5,rating
38,2,quality,material has a little bit of stretch.,positive,5,rating
41,2,fit,i bought my usual medium and i found that it fits tight across my chest.,positive,5,rating
41,4,fit,if i bought again i would size up.,positive,5,rating
43,1,quality,really sheer light fabric.,positive,4,rating
43,3,fit,"second, it is large.",positive,4,rating
43,4,fit,"i ordered the size 0 and it's a nice oversized fit for my 5'3"" 125 pounds.",positive,4,rating
43,6,quality,"along with being sheer, the fabric is easily stretched, which i don't mind in this case.",positive,4,rating
44,3,fit,"a little dressier alternative to a plain tee and reasonably priced for retailer. 5'8"""" and i generally wear a 6, the small fit well.",positive,5,rating
45,1,fit,the fit on the model looked a little loose but when i got mine it seemed a bit tight!,positive,4,rating
45,2,fit,so i took it back to the store & ordered a larger size.,positive,4,rating
45,3,price,for the sale price this is a great top.,positive,4,rating
46,2,quality,the problem is that you can tell i wear it all the time as the fabric has started to fade.,positive,5,rating
47,0,quality,"Very comfortable, material is good, cut out on sleeves flattering",positive,5,rating
49,2,fit,"i'm rather busty up top and the medium fit well, a small probably would've fit better but it's still super adorable.",positive,5,rating
50,1,fit,"it fits well, nice print and it's comfortable.",positive,4,rating
51,2,fit,"i'm 5'7"", 140 pounds and the small was a perfect fit for me.",positive,5,rating
52,0,quality,"Love the color and style, but material snags easily",neutral,3,model_relabel
54,5,quality,it's a lightweight tee fabric that's opaque.,positive,4,rating
55,2,fit,i am a 36d and the medium was a perfect fit.,positive,5,rating
56,1,fit,"it's soft and fits okay, but it has zero support or shape.",negative,2,rating
56,5,quality,it's comfortable so that's a redeeming quality.,negative,2,rating
57,0,fit,This tank fit well and i loved the ruffle in the back and how it layed.,neutral,3,model_relabel
58,0,fit,"I got this in the petite length, size o, and it fit just right.",positive,4,rating
58,3,price,"i personally think that the elastic waistband looks cheap, and really needs to be concealed with a belt, yet because it sits so high, literally right under the bustline, it's a tricky one to pull off.",positive,4,rating
59,0,fit,I've been looking for bralettes that provide some support but not binding/tight for night time and casual wear.,positive,4,rating
60,2,fit,"size small worked for me, and since i'm tall it fell right to my ankle which is perfect for me.",positive,5,rating
61,0,fit,"3 tags sewn in, 2 small (about 1'' long) and 1 huge (about 2'' x 3'').",negative,1,rating
65,3,quality,just make sure you aren't doing/wearing anything that will rub it continuously since the fabric is delicate,positive,4,rating
66,5,quality,i almost think i could've gotten a m in this because there is a lot of extra fabric at the chest which is usually never the issue for me,positive,4,rating
67,1,fit,"i kept eyeing it online and wavering on size, since my post-baby body is a little wonky.",positive,5,rating
67,3,fit,"so, i would say it does run just a little large.....",positive,5,rating
69,1,fit,"alas, it had a strange fit for me.",neutral,3,model_relabel
69,2,fit,"the straps would not stay up, and it had a weird fit under the breast.",neutral,3,model_relabel
69,4,quality,the fabric was beautiful!,neutral,3,model_relabel
70,3,quality,the craftsmanship is lovely and fabric is so natural and handwoven looking.,positive,4,rating
70,4,quality,"i'm thinking about asking my tailor if she can take the sides in, but that might ruin it as the fabric layout is cut and proportioned to this swing style.",positive,4,rating
71,3,fit,"the pattern and fabric are gorgeous, so if you are like 4' tall and super tiny and can fit xxs this may work?",negative,2,rating
71,3,quality,"the pattern and fabric are gorgeous, so if you are like 4' tall and super tiny and can fit xxs this may work?",negative,2,rating
71,4,fit,i am between a 6-8 and fit a small and it was huge on me and almost was bigger at the bottom than the top.,negative,2,rating
72,1,fit,"there's not much stretch to the fabric so it is fitted to my chest, but not in an uncomfortable way.",positive,5,rating
72,1,quality,"there's not much stretch to the fabric so it is fitted to my chest, but not in an uncomfortable way.",positive,5,rating
72,2,quality,definitely doesn't hang and have extra fabric like on the model.,positive,5,rating
72,3,quality,zipper goes almost all the way down to the bottom so it's easier to get on and off which makes up for the lack of stretch n the fabric.,positive,5,rating
73,1,fit,it is loose and comfortable.,positive,4,rating
73,3,fit,"it runs a little large so size down if you want a more tailored fit. 1 criticism, it catches on sharp jewelry or belts and can pull if you are not careful.",positive,4,rating
74,2,fit,i sized down to get a more fitting look and really made a difference for me in style.,positive,5,rating
74,3,fit,i was not a fan of the way it looked so loose on model.,positive,5,rating
74,4,fit,it looks really cute fitted and a bit sexy even.,positive,5,rating
75,1,quality,"i am petite and only 5'2"", so usually shirts with a lot of fabric swallow me whole but this one was still cute.",positive,5,rating
75,2,quality,"there is a lot more fabric than the picture lets on, but i think it is still super cute and flattering.",positive,5,rating
75,3,fit,i would definitely check the size chart and read comments to see if someone with your same size description has recommended a specific size for your body type.,positive,5,rating
76,0,fit,I would have loved this dress if the bust and waist were just a little more fitted.,positive,4,rating
76,2,fit,fit perfectly on hips.,positive,4,rating
76,3,quality,"the lace material means it cannot be easily altered, so i chose to return the dress.",positive,4,rating
76,4,fit,i would have definitely kept it if it were a better fit.,positive,4,rating
78,0,fit,I usually size up with this brand.,positive,5,rating
78,1,fit,small was perfect for me at 135lbs.,positive,5,rating
78,4,fit,it wears a little long and drapey but a little tight where it rolls up in the arms.,positive,5,rating
79,0,quality,"This dress is adorable - it's a perfect casual look for summer and the quality is nice with the lining (though still overpriced, in my opinion).",positive,4,rating
79,1,fit,"the tie detail is somewhat adjustable, and i found my normal size s to fit fine (5'7, 128#).",positive,4,rating
80,0,fit,I am usually a petite 6 but since this dress did not come in petites i tried on 4 and it fit.,positive,5,rating
81,3,quality,soft material,positive,5,rating
83,1,quality,the quality is wonderful and the greenish blue color is very unique.,positive,5,rating
83,6,fit,my only wish is that it would come in a petite size as it's a touch big at the shoulders and neckli,positive,5,rating
84,0,fit,I received this shirt in my typical xs and it fits perfectly.,positive,3,model_relabel
84,5,quality,it does remind me of a material that could develop some holes after some wear and washes.,positive,3,model_relabel
85,3,fit,"i am 5'8"" and usually wear a medium or large.",negative,1,rating
85,4,quality,i got a medium and there was a lot more material on the bottom half than the photo shows.,negative,1,rating
85,6,quality,material has a nice weave but it's thin and delicate.,negative,1,rating
86,0,fit,"I tried this on from the sale section, and they only had a 2 (i usually do 0), and surprisingly, that size was the right fit.",positive,4,rating
86,1,fit,"it is fitted, with just enough room to eat :-) 
te blue is a light blue, almost neutral, with the white embroidery, i think it looked stylish, and decided to keep it.",positive,4,rating
86,2,fit,"the peplum part hit just in the right spot, i am short (petite) but my torso is normal size...",positive,4,rating
87,0,fit,"I debated n that as i think it looks loose on the model, but if i was to tighten it, it looks a lot more flattering...",positive,4,rating
87,1,quality,"i tried on the xs in the store (i usually do that to decide if i need petite), and it looked huge, when we pinched the back to see if xxs would work, it was a lot of fabric, and looser didn't look as good on me...",positive,4,rating
89,1,fit,"when i tried it on, the fit was fine but it just lacked...something.",positive,4,rating
89,3,quality,"gorgeous fabric and top, but not for me.",positive,4,rating
90,2,fit,i am 5 foot 6 and a little curvy with a 38 c bust and i got a size 10.,positive,4,rating
90,3,fit,it fits well although it is difficult to zip up because the material has no give.,positive,4,rating
90,3,quality,it fits well although it is difficult to zip up because the material has no give.,positive,4,rating
91,3,fit,"the fabric does not stretch at all, but i still think it fits tts.",positive,5,rating
91,3,quality,"the fabric does not stretch at all, but i still think it fits tts.",positive,5,rating
91,4,fit,"if you have a very large chest you may want to go up a size, but otherwise i would order your normal size.",positive,5,rating
92,6,quality,"with that aside, it seriously is a great quality shirt with a beautiful",positive,4,rating
93,1,quality,it has and elegant cut and yet is a casual fabric.,positive,5,rating
94,0,fit,I usually wear a medium and bought a small.,negative,1,rating
94,1,fit,"it fit ok, but had no shape and was not flattering.",negative,1,rating
96,3,fit,"the shirt fit but was just a tad snug near the upper arms, which would stretch and loosen up throughout the day.",neutral,3,model_relabel
98,1,fit,had i tried this on in person i may have bought it in a small instead of a m.,positive,4,rating
99,2,fit,just received and it fits nicely-a little on the big side but i believe it looks better that way.,positive,5,rating
100,0,price,The fabric felt cheap and i didn't find it to be a flattering top.,negative,2,rating
100,0,quality,The fabric felt cheap and i didn't find it to be a flattering top.,negative,2,rating
103,2,fit,but as another reviewer said--it runs small.,positive,4,rating
103,5,fit,i gave it 5 stars because it is beautiful and great quality--it just didn't fit me.,positive,4,rating
103,5,quality,i gave it 5 stars because it is beautiful and great quality--it just didn't fit me.,positive,4,rating
104,0,fit,I ordered ivory in xl because this brand tends to run tight if you're well endowed.,positive,4,rating
105,2,fit,"it fits true to size, as i normally wear a small in all retailer however it is the slightest bit tight in the shoulders.",positive,5,rating
107,0,quality,This is so thin and poor quality.,negative,1,rating
107,1,price,especially for the price.,negative,1,rating
108,1,fit,it is very cute and fit well but the fabric was very thin (partially lined which is a plus) and the hem line coming up on the sides made it just too short for me.,neutral,3,model_relabel
108,1,quality,it is very cute and fit well but the fabric was very thin (partially lined which is a plus) and the hem line coming up on the sides made it just too short for me.,neutral,3,model_relabel
109,0,fit,I read the first review on this and ordered both a small and a medium as i thought this would run small.,positive,5,rating
109,2,fit,i find that this top runs true to size or even generous!,positive,5,rating
109,4,fit,"i usually wear a small in hh brand and this one was true to fit (5""2"", broad shoulders, 120 lb)",positive,5,rating
110,1,fit,it runs true to size.,positive,5,rating
111,5,quality,"the fabric looks droopy and laundered and is not crisp, stiff or new.",negative,2,rating
111,6,quality,i am very disappointed by the quality of the item that i received.,negative,2,rating
113,2,fit,"i'm 5'4"", 120#, 34d and this is a size 36.",positive,4,rating
113,3,fit,i usually wear a size s or 4 with most retailer stuff.,positive,4,rating
114,2,quality,the quality of the linen fabric is very nice.,positive,5,rating
114,4,fit,i found it to run true to size.,positive,5,rating
114,5,fit,"those with a smaller bust might want to go down a size, but the tie in the front can be adjusted.",positive,5,rating
115,0,quality,"First, the fabric is beautiful and lovely for spring and summer.",negative,2,rating
115,1,fit,"i really wanted to like this top, but the fitting is so awkward for me.",negative,2,rating
115,2,fit,"i typically where a 0/xs, and sized up in the shirt to a size 2.",negative,2,rating
115,3,fit,it was very tight and pulled funny across the chest (size 32/a).,negative,2,rating
116,3,fit,the fit is true to size and the 'stressed' velvet fabric is current for this season.,positive,5,rating
116,3,quality,the fit is true to size and the 'stressed' velvet fabric is current for this season.,positive,5,rating
118,1,fit,i normally wear a small but they only had mediums and it fit fine( i like it tied).,positive,5,rating
119,1,fit,i have a large chest which sometimes makes this fit look like a tent but this fabric drapes nicely.,positive,5,rating
119,1,quality,i have a large chest which sometimes makes this fit look like a tent but this fabric drapes nicely.,positive,5,rating
120,0,fit,"After reading the previous reviews, i ordered a size larger.",positive,5,rating
120,2,fit,it fits perfectly!,positive,5,rating
122,4,fit,"however, i'm a 36c and found that the arm/shoulder part so large and bulky that is made me look bigger on top.",neutral,3,model_relabel
123,1,quality,"let me be clear that this is a beautiful, comfortable piece of clothing- when you put it on it feels thick and of very good quality.",positive,4,rating
124,2,fit,it definitely runs a little large.,positive,5,rating
124,3,fit,i usually wear a small or a zero and i can wear a small wth a large sweater underneath no problem.,positive,5,rating
124,4,fit,i might have wanted an extra small but i just stuck with the small because i needed the coat already.,positive,5,rating
127,3,fit,pair it with a fitted piece on the bottom and no one will think that you are actually needing that much material to cover anything!,positive,4,rating
127,3,quality,pair it with a fitted piece on the bottom and no one will think that you are actually needing that much material to cover anything!,positive,4,rating
128,0,fit,"It's ok, fit doesn't wow me because of my body.",neutral,3,model_relabel
128,5,quality,construction is poorly done...contrasting liner at v-neck is rolling out on one side only and then doing the same at the hem contralaterally.,neutral,3,model_relabel
131,2,quality,there's no mistaking quality when you look at this piece!,positive,5,rating
131,3,fit,"i bought the medium for my 130#, 34f, size 8 blouse/tee frame.",positive,5,rating
132,2,quality,"a great piece for polished but casual style, and the fabric has a nice, soft suede-like finish.",positive,4,rating
133,3,fit,i am 5 3 and could totally size down to a s but even at my height it would be too short.,positive,4,rating
134,3,fit,the coat itself runs just true to my shirt size but not what i want for a coat.,positive,4,rating
134,4,fit,i will be returning this for a size up because i will want to wear a sweater or at least maybe a thicker shirt under this especially for winter or fall.,positive,4,rating
134,5,quality,the fabric is decent and the weigh,positive,4,rating
135,5,fit,i sized down.,positive,5,rating
137,2,fit,it's called off the shoulder but it is so tight when you try and actually wear it off the shoulder.,positive,4,rating
139,1,quality,"it is, however, beautiful, if you are not sensitive to scratchy material.",positive,3,model_relabel
139,2,fit,fit was true to size.,positive,3,model_relabel
140,0,fit,"The stylist had me try this top on off the shoulders, but that was kind of snug, perhaps why it didn't fit right, it is not off the shoulders on this picture.",positive,3,model_relabel
140,1,fit,"the cut is loose, so it looked big on me, but going smaller would not have worked the way i had it on...",positive,3,model_relabel
141,0,fit,"Some reviewers found this skirt to be on the smaller side, but for me, it was big,,, too bad the smaller size is sold out (well, all peittes are sold out).",positive,5,rating
142,2,quality,the fabric is nice and the colors are pretty and cheerful for this spring/summer !!,positive,5,rating
143,1,fit,"sizing was mostly true to size for me, slightly tight in the waist but i have a thicker waist compared to my hips.",positive,5,rating
143,2,fit,"i'm 5'7 and 138# and ordered a size 4 (i usually size up to a 6 with retailer pencil skirts.) a 6 probably would have fit as well, especially in the waist but didn't want it too big in the hips.",positive,5,rating
144,1,price,"the price point seems a bit high for the average office gal, but the quality is impeccable.",positive,5,rating
144,1,quality,"the price point seems a bit high for the average office gal, but the quality is impeccable.",positive,5,rating
144,5,fit,"the fit is true to size, and the delicate details are just lovely.",positive,5,rating
146,2,fit,"runs small i ordered a 12 i'm usually a 10, but still a little snug.",positive,4,rating
147,1,quality,"the fabric is a bit tacky-looking in person, the cut is odd and it's just not me.",neutral,3,model_relabel
147,2,fit,"fit is fine and there are snaps to keep the neckline flat and shaped, the colors are as shown and it is a good length (falls to top of hip).",neutral,3,model_relabel
148,1,quality,material is very uncomfortable.,neutral,3,model_relabel
148,2,fit,if you have large bust it is a little divulging.,neutral,3,model_relabel
149,7,fit,it's very low cut..the back is very low..it's a little loose but i run between a 2 and a 4.,negative,3,model_relabel
150,1,quality,i do not agree with some of the other reviews about the fabric being scratchy.,positive,5,rating
152,0,fit,So  disappointed that no where in the limiting did it mention this suit is australian in size!!,negative,3,model_relabel
152,2,fit,gutted that i have to return this suit because of this sizing issue.,negative,3,model_relabel
153,3,fit,it fits great and is way way prettier in person !,positive,4,rating
154,3,fit,"i'm 5.3 and about 130 pounds and i almost always wear a size 6, but the six was too big.",positive,4,rating
154,4,fit,i'd recommend sizing down.,positive,4,rating
155,0,fit,Love everything about this beautiful coat except the way it fits on me.,positive,4,rating
155,2,fit,if i size down it will not fit in my shoulders.,positive,4,rating
156,0,quality,The title says it all....this fabric of this top is both the best and worst part of the design.,negative,1,rating
156,1,quality,"the colors are vibrant and the combination of materials (shoulder is a knit, sweater-like navy fabric) is interesting.",negative,1,rating
156,5,quality,"it could benefit from a lining, and that might have solved the problem of scratchy, itchy fabric.",negative,1,rating
156,6,quality,the stiff fabric of the bo,negative,1,rating
157,0,fit,My usual size 6 fits perfectly...,positive,4,rating
159,0,quality,"I bought this and like other reviews, agree that the quality probably could be better, but i still love it enough to keep.",positive,4,rating
159,2,quality,"it has pilled, but the fabric is textured, so i didn't even notice until i read the other reviews and then looked back at my jacket.",positive,4,rating
160,0,fit,"I bought a petite, size 2.",positive,5,rating
160,1,fit,"i am 5'3"", 111 lb - it fit perfect with a tiny bit of room.",positive,5,rating
161,1,fit,it's light weight and i love that the top is a little more fitted and the bottom swings out.,positive,5,rating
162,1,fit,"i was pleasantly surprised upon receiving this dress because i wasn't sure about the print size and colors when i saw it online, but the print is beautiful.",positive,5,rating
162,5,quality,the fabric and overall q,positive,5,rating
163,2,fit,i had to size up because the waist band was a little tight for comfort.,positive,5,rating
164,0,fit,"I ordered this in xs, i'm 5'4"", around 115lbs, and it fits perfectly.",positive,5,rating
164,1,quality,"the material is very soft, but not see-through, and the romper is well-made.",positive,5,rating
165,2,quality,"the fabric is beautiful, and i loved the way they draped.",positive,4,rating
165,4,quality,"these could be perfect for a hot summer evening dinner, because the fabric is very light and breezy.",positive,4,rating
166,2,fit,i typically wear small or medium size and got the medium hoping for a little longer length.,positive,4,rating
166,4,fit,of approx. 128 lbs...it fits very nicely .,positive,4,rating
167,2,fit,i agree that it runs small but even when i sized up it still wasn't flattering.,positive,5,rating
168,0,quality,Happy with this top- slightly thinner material than i was expecting but that'll be fine with our hot summers.,positive,4,rating
168,3,fit,i do wear an tank underneath though bc the armholes are slightly large and you can see part of my bra.,positive,4,rating
169,0,fit,Love the fit of this sweater!,positive,5,rating
169,1,fit,it almost fits like a sweatshirt and definitely not as long as on the model.,positive,5,rating
169,6,fit,runs true to size-im always a small and this fits perfectly roomy.,positive,5,rating
171,0,fit,The colors are vivid and perfectly autumnal but the fit is a mess.,negative,2,rating
171,1,fit,"it was overall too large, the waistline curves up in the front and then falls into small pleats which was maternityish, the waistband was thicker than the dress and sat away from my body and the material was a cheapish poly.",negative,2,rating
171,1,quality,"it was overall too large, the waistline curves up in the front and then falls into small pleats which was maternityish, the waistband was thicker than the dress and sat away from my body and the material was a cheapish poly.",negative,2,rating
171,2,quality,"had the outer dress been made from the same material as the lining, i would have liked it better.",negative,2,rating
172,3,fit,i found it true to size.,positive,5,rating
172,4,fit,"typically i wear a medium or large, depending on the structure and the medium fit well.",positive,5,rating
172,5,fit,a little more fitted on top and looser around the waist.,positive,5,rating
174,0,quality,"But i thought this was lace or with texture, it is more a pattern on regular fabric.",positive,4,rating
174,1,fit,"colors are nice, there are subtle flowers with bright colors in the pattern, the fit is nice, the 0p fit snugly enough, i don't think there was much give but that was comfortable enough.",positive,4,rating
175,5,fit,"i'm 5'7"" size 10-12 and the large fit just right.",positive,5,rating
176,0,fit,"Beautiful color,, great quality, and great fit if you size up!",positive,4,rating
176,0,quality,"Beautiful color,, great quality, and great fit if you size up!",positive,4,rating
176,1,fit,i learned my lesson with previous purchases and sized up when i read it runs small.,positive,4,rating
176,3,fit,it fits perfectly.,positive,4,rating
178,2,quality,this shirt does not have the same quality as all my other retailer purchases.,negative,2,rating
178,6,fit,if the bottom fit nicer like their other products i could have gotten away with wearing a cami under it to make up for the qu,negative,2,rating
179,2,fit,it fits like a high waisted skirt would which is why i purchased the next size up.,positive,4,rating
180,1,fit,the silhouette fits all sizes and shapes while providing a unique dress.,positive,5,rating
181,4,shipping,"there's raw edges on the waistband, needed trimming fresh out of the package.",positive,4,rating
181,5,fit,"sz 10 fit in the waist, too small for 36d bust; sz 12 fits bust but is big in the waist.",positive,4,rating
182,0,fit,"My waist measures 28"" and the size 4 is a snug fit.",positive,4,rating
182,1,fit,"i normally buy size 2 in retailer skirts, but the 2 was unbearably tight.",positive,4,rating
182,3,quality,"i like that it's machine washable, and the quality looks good.",positive,4,rating
183,0,quality,I love the fabric and color (i bought the green one).,positive,4,rating
183,2,fit,it looks more fitted on the model.,positive,4,rating
185,0,quality,"I love the color of this skirt, and the fabric is wonderful.",positive,5,rating
185,1,fit,"it was a bit longer than anticipated, but fit well.",positive,5,rating
186,0,fit,Dress ran very large in every way.,neutral,3,model_relabel
186,1,quality,"beautiful design, lining and quality material.",neutral,3,model_relabel
186,2,fit,i should have sized down 2 sizes.,neutral,3,model_relabel
187,3,fit,"i am 5'7"" 118 lbs and have a small waist -- and although this is a ""swing"" style, it still shows my waist and doesn't overpower me.",positive,5,rating
187,4,quality,it is also a lovely fabric -- especially in the soft pink which i got.,positive,5,rating
188,4,quality,the material is fabulous but i have not washed it yet so i am not sure if it is going to shrink (which i hope it doesn't because it is one of my favorite pieces).,positive,5,rating
189,0,fit,"Unlike the other reviewers, i did not have any problem with the sizing, fit or length of this skirt.",positive,5,rating
189,2,fit,for me it fit true to size.,positive,5,rating
189,3,fit,"for reference i am 5'8"", 135 pounds and the size 6 fit perfectly.",positive,5,rating
189,4,quality,i think the color is beautiful and the quality is good.,positive,5,rating
191,0,fit,This skirt looks exactly as pictured and fits great.,neutral,3,model_relabel
192,0,fit,"Dang, i got a small and was still swimming in it.",neutral,3,model_relabel
192,1,quality,"it's made of the fabric that increasingly seems to be the fabric of choice for all things t-shirty- soft and thin-ish, a bit translucent.",neutral,3,model_relabel
193,0,price,Bought this item on sale and was very disappointed in the quality for the cost.,negative,3,model_relabel
193,0,quality,Bought this item on sale and was very disappointed in the quality for the cost.,negative,3,model_relabel
193,1,price,"fabric feels cheap, like it will snag easily and will stretch out quickly.",negative,3,model_relabel
193,1,quality,"fabric feels cheap, like it will snag easily and will stretch out quickly.",negative,3,model_relabel
193,3,price,gorgeous blue color but not worth the price tag.,negative,3,model_relabel
195,0,quality,"I loved this top; it reminded me of one i have from retailer from circa 2008 in black and white; however, on this one, the chest area is too big, in both the 14 and 16, and i even found myself tugging downward on the fabric to keep it in place because the waist is elastic and also too big.",positive,4,rating
195,1,fit,"i probably need a size 12, but then i fear it would be too short-waisted on me, for i am 5'10"".",positive,4,rating
196,0,fit,I love the rich deep color and the style but once again this brand runs really small in the waist.,neutral,3,model_relabel
196,1,fit,i am normally a 8/10 in retailer skirts and the size 10 was tight at the waist enough so i could not button it and feel comfortable.,neutral,3,model_relabel
196,2,quality,"the quality is ok, something i feel i would see at another type of discount store.",neutral,3,model_relabel
196,3,quality,for me this skirt did not work but the color and softness of the fabric was a plus.,neutral,3,model_relabel
198,0,fit,"I loved this skirt on but just the other reviewers, it runs small in the waist throwing off the dimension of the skirt.",positive,4,rating
198,1,quality,i ended up getting the 0 despite the fact that it was tighter in the waist because the 2 at this length (with my height) and amount of material became overwhelming on me.,positive,4,rating
199,2,fit,i don't think its too full on the bottom at all - mine has a loose but pretty straight silhouette.,positive,5,rating
199,5,quality,"i will have to either return for the white or dye the fabric myself to a more flattering shade, bummer that i thought the other reviewers might",positive,5,rating
200,0,quality,Love the fabric of this shirt even though it was thinner than i expected.,negative,1,rating
202,0,fit,"Very pretty fabric and beautiful color, but i agree with the other reviewer here, the fit is a bit strange.",positive,4,rating
202,0,quality,"Very pretty fabric and beautiful color, but i agree with the other reviewer here, the fit is a bit strange.",positive,4,rating
202,1,fit,the waist is very small - need to size up at least one size for that to fit - while the rest fits nicely.,positive,4,rating
203,1,quality,much to my surprise the material was not has structured as i thought it would be from the photos.,positive,4,rating
203,2,fit,the fit was very tight and did not fall as nicely as i anticipated.,positive,4,rating
