review,true_sentiment,aspect_sentiments
dress not beautiful color picture yellowish cream fabric thick not hang pretty disappointed return,negative,{'quality': 'positive'}
lovely top rich looking always get compliment loose fitting not baggy embroidery well done,positive,{'fit': 'positive'}
button side give top style great color fabric make perfect paired denim,positive,{'quality': 'positive'}
dress lovely color seem bit muted reflected model otherwise look similar photo slimline style flattering dress casual appearance reflected photo really day dress special occasion dress notwithstanding another reviewer opinion contrary ordered size due reading review found bit larger wanted washed tumble dried low,positive,{'fit': 'positive'}
great basic little something special great around,positive,{}
reference athletic muscular body type broad shoulder slim hip bit confused sizing especially based review mentioning needed size ordered x swimming usually quite comfortable size small not sure x still big perhaps need hip dress work really hanging not figure flattering not sure ordering xx would make thi,neutral,{'fit': 'positive'}
really cute shirt love design color everything shirt size lb usually wear x xsp x huge sold smaller size would ordered one unfortunately go back,neutral,{'fit': 'positive'}
purchased orange version definitely orange not red heading vacation perfect hot summer weather swingy shape keep cool print much better person fabric soft hang well look forward wearing work also cardigan akemi akin top always get one seemed bit large even liked length kept,positive,"{'quality': 'positive', 'fit': 'positive'}"
beautiful sweater perfect length surprisingly warm,positive,{}
great casual summer dress cute cover black definitely wear daytime feeling bare throw white button chambray,positive,{}
ordered extra small fit humble tee button sleeve rolled tried jean also jogger heel really cute versatile sweater got olive see black might universally useful one work perfectly however,positive,{'fit': 'positive'}
dress great extremely short wear size looked like tunic short,positive,{'fit': 'positive'}
dress absolutely gorgeous love love love petite sizing perfect,positive,{}
purchased dress usual petite size fit quite well part bit tight around armpit area major issue front dress weird pocket extra fabric chest area small chested also bow across back not cover bra strap bow made think needed size not sure would fixed weird fit front decided return dress end,neutral,"{'quality': 'positive', 'fit': 'positive'}"
sure got x sale style wide longer pictured somehow work drape nicely shoulder comfy wear summer two received deep turquoise pair nicely favorite jewelry,positive,{}
usually buy pair kind pant every year brand lightweight sturdy flattering curvier body brand run big usually buy size rather normal size going wait let someone else try first caved ordered two size label etc anymore pant still look well made cute little detail bigger ever,negative,"{'quality': 'positive', 'fit': 'positive'}"
recently purchased blouse black love soft yet crepe like fabric small bit negative space trim bust line give air elegance comfortable breathable see becoming live without staple,positive,"{'quality': 'positive', 'fit': 'positive'}"
tried want take soft stylish drape body right way stretchy even though wearing jean took regular run hone tried moss cowled side zip tunic different booty aquaflora reversible vest variation combo looked really cool great even tried high heeled booty dressier sweater top warm pullover charcoal looked like high couture color,positive,{}
sure jacket got mail seemed little boxy maybe smaller size would worked better want able layer however keeping versatile love contrast front back button sleeve actually button un button meaning show sleeve easily rolled great basic jacket neat detail,positive,{'fit': 'positive'}
pant super flattering worn work weekend dressed slimming fit nicely complaint start look worn black fade wash time please stop carrying,positive,{'fit': 'positive'}
looking forward trying seeing catalog wear x small retailer top tried x huge reminded maternity top much flowy look model material nice thin not see macrame detailing seemed well made recommend looking flowy top definitely size,neutral,"{'quality': 'positive', 'fit': 'positive'}"
love chino super soft amazingly comfy quite flattering wide leg pant,positive,{}
white dress choose year one settled comfortable quality good especially edge detail machine washable must white easy dress lb found usual size small fit tt loose fit like model shot easy throw go dress cute detail boot,positive,"{'quality': 'positive', 'fit': 'positive'}"
absolutely beautiful extremely happy purchase bought top couple month ago worn many time initially little apprehensive order due review found top figure flattering soft warm positive wardrobe quite year come almost sad put away season soon,positive,{}
pretty look nice weight lining color tried whoa ridiculously bad broad shoulder small waist accentuated broadness shoulder eliminated hint shape model photo look great imagine look great anyone slim shoulder narrow hip definitely not though,neutral,{'fit': 'positive'}
let start saying not market new dress bought retailer day seasoned experience online shopper many positive review rare better listen really like bailey dress wow glad made impulse decision buy love husband love comfy reference size went petite not think dress would look like,positive,{'fit': 'positive'}
sweater beautiful run big got x lb roomy love thickness color pocket even roominess except sleeve long wide make look bulky sleeve slimmer would look like cute intentionally oversized style instead look like kid borrowed giant sweater think would work better taller slim person still like,positive,{'fit': 'positive'}
run large leg wide even sizing seemed floppy,neutral,{'fit': 'positive'}
bought top black high quality material love mock neck zipper back however not armhole large shirt cut short size smaller armhole becomes crop top not flattering look something really wanted work ala went back,negative,"{'quality': 'positive', 'fit': 'positive'}"
saw dress model standing outdoor setting fell love noticed model indoors photo dress looked different studied difference way plaid fell dress one liked fell vertically giving slimming effect others horizontal giving widening effect went local retailer see one liked dummy tt plaid matched perfectly front flo,positive,{'fit': 'positive'}
love top fit true size ordered medium fabric weight right not see top not gap length fall tummy without tent like snug long worn inside wish color choice order touted red motif would call red orange cannot wear orange red enough pull skin tone white background sleeve,positive,"{'quality': 'positive', 'fit': 'positive'}"
absolutely love sweater pretty soft comfortable purchased small fall little hip color match everything pocket detail add nice touch longer sleeve cozy drawback pill shed,positive,{'fit': 'positive'}
agree light colored portion dress not vanilla beige color liked dress lot flattering fit extremely comfortable noticed black mesh portion top dress not lay flat outer side mesh floral fabric like picture poked side least suddenly made dress look cheap ill fitting guess either mesh pattern piece not cut correctly not sewn correct,neutral,"{'quality': 'positive', 'price': 'positive', 'fit': 'positive'}"
bought usual size small fit well wear around house constantly stay warm winter warm comfortable easy wear could worn prefer lounge pant due comfort warmth provides nice neutral worn many retailer casual clothes highly recommend,positive,{'fit': 'positive'}
sweater bought go navy dress not ivory sortof blush color not mind sweater pretty back shorter someone else described look slightly awkward wearing definite return,negative,{}
usually size top rarely size upon reading review top decided order assumed would fit way usually obviously designed loose flowing top wanted order however simply loose every direction primary gripe arm hole gaping falling side way think intended really like styling quality planning,neutral,"{'quality': 'positive', 'fit': 'positive'}"
love ag jean begin even still sometimes certain style miss mark least body type pleasantly surprised pair even though pricey pas miraculously stay hip find pulling every minute hallelujah stretchy soft losing shape hit right ankle hem frayed hoping unravel much,positive,{'price': 'positive'}
pound got medium cut flattering received many compliment wear lined no need wear cami underneath,positive,{}
sure online shop image ordered two pair package arrived less day immediately could see cord everything expected incredibly soft body forming classic cord texture softer love look work daytime well evening geared work casual couture look year old niece wanted buy second pair sz gave nice niece,positive,{'delivery': 'positive'}
tried dress little small looked loose flowy thought sizing would good idea fit outer layer however previous poster mentioned lining super tight even pull lining hip far big shoulder arm still tight lining not sure wrong shame really cute dress,negative,{'fit': 'positive'}
hard time deciding order red turquoise color really nice person black course classic another reviewer found top small found little big usual size not bad little bigger expected teh neck part effortless stiching help colw effect stay place fabric thin though may show thing thinking bra ripple perhaps ripple front tummmy keeping,positive,"{'quality': 'positive', 'fit': 'positive'}"
bought daughter college birthday heard shout new go top roomy already tried borrow super comfy beautiful shoulder style no one go wrong,positive,{}
light flowy dress lining fitted dress actually not fitted nice flow hit right thigh area flowing plan wear work color bright pretty,neutral,{'fit': 'positive'}
love color dress run little large ordered large medium went medium,positive,{'fit': 'positive'}
classy tunic worn jean legging neckline small stretch go easily color perfect spring word caution design add bit bulk around middle probably not best bet tummy conscious,positive,{'fit': 'positive'}
not cute know else describe top dd ordered large fit comfortable peplum way much fabric actually made look much bigger would possibly tried medium store returned,negative,"{'quality': 'positive', 'fit': 'positive'}"
cute love button back detail completely see could worked putting cami underneath arm hole tight look bad felt uncomfortable really tell pic elastic arm hole work super skinny arm apparently,neutral,{'fit': 'positive'}
glad sale would not purchased full price due strange fit sleeve shirt slight raglan sleeve sleeve not fit loosely kind twist armpit area not large arm ok straightening knit sleeve not fit right also surprised unfinished edge along neckline messy tacky looking think meant recommendation buy,neutral,"{'price': 'positive', 'fit': 'positive'}"
shirt comfortable look like picture complaint quite boxy not flattering color detail great material good quality thick looking light shirt not,neutral,{'quality': 'positive'}
great pair work slack flare wear boot give rich look super flattering cut flat waist highly recommend fall winter,positive,{}
would never bought top online photo happily came across local store bought hot pink gingham check cute fresh work well hot summer day may want wear rolled sleeve lightweight gauzy bought usual x b lb whilst looser model would still say tt maybe little fuller back would like wear mine partially tu,positive,{'fit': 'positive'}
afraid twist front would bulky add nice extra touch otherwise simple shirt got blue color beautiful basic piece little bit happy,positive,{}
gorgeous yes side slit high still keeping rocking size got large probably could got medium washing think larger size ok side slit high weather good self tanner leg look great shortie boot gotten many cmpliments hope still keep shape long day wear pretty cream though recommend,positive,{'fit': 'positive'}
skirt cute run pretty small fabric nice heavy adorable chambray top,positive,"{'quality': 'positive', 'fit': 'positive'}"
love style top good stretch fabric flattering length good previous review stated little long lengthening lace lovely wear white jean summer,positive,{'quality': 'positive'}
oh wanted skirt work fabric pattern color beautiful style nice knit comfortable knit soft pliable lost shape right away wearing hour front slit curling weird direction fabric around hip got sort crooked hang would loved fabric one notch substantial defined waist better integrity around hip,neutral,{'quality': 'positive'}
saw dress window portland store try bit horrified huge got sort like wearing tent no shape one awesome dressing room attendant brought belt suddenly beautiful dress ever romantic elegant feminine fabric lovely flowy sleeve lower scooped back look fantastic say enough amazing make feel wore,positive,{'quality': 'positive'}
agree previous reviewer bit short top kind like petite top come way long however go size breast likely not fit standard size however love shirt soooo adorable color bit olive brown though pic,positive,{'fit': 'positive'}
large perfect style not baggy shapely enough office without legging fall approach bought blue color rich saturated material soft around comfortable number one factor buying clothes love versatility since jacket scarf dress shoe also dress dress dress bargain,positive,"{'quality': 'positive', 'fit': 'positive'}"
month pregnant bought dress yesterday perfect wrap design make possible expand skirt still look cute bought small look forward wearing deliver well,positive,{'fit': 'positive'}
fell love dress two year sold lucky gotten greedy little hand eye catching retro modern number mom adores fit reminds youth originally sized not realizing bust wide rib cage would make fit difficult wish could found settled p tailor finish also going remove tulle layer since want wear casual frock,positive,{'fit': 'positive'}
yes run large usually wear ordered x like oversize fit think poncho unique chic modern definitely worth price especially sale nice quality fabric,positive,"{'quality': 'positive', 'price': 'positive', 'fit': 'positive'}"
ordered purple black first loved color ran large tried purple realized metallic thread shoulder area irritatingly itchy reference currently broader shoulder returned large bought medium purple sale waiting arrival see thread bother bit beautiful saturated purple color btw true image not cranberry one reviewer thought,positive,{'fit': 'positive'}
love design shirt quality poor opinion got white shirt material fragile see tearing prone rip wear price thought quality not par white shirt see nude camisole underneath fine,neutral,"{'quality': 'positive', 'price': 'positive'}"
pant great fit expected nice skinny crop nothing tight fabric soft making pant incredibly comfortable first pair stet crop probably buy another pair future,positive,"{'quality': 'positive', 'fit': 'positive'}"
bought legging retailer fine run small return,neutral,{'fit': 'positive'}
cute shirt great lazy day got x thought bit lose especially around waist shirt good quality material heavier great spring fall go well legging jacket,positive,{'quality': 'positive'}
surprise vest came sleeve zip halfway armpit show look like jacket ripped armpit area good question run small foot tall weighs pound luckily one left size l ordered fit perfectly,positive,{'fit': 'positive'}
design nice texture feel comfortable sleeve odd angled wonder look cool shirt tried wearing neutral motif still felt odd also width relatively wide run large rated average overall rating odd sleeve feeling personally not recommend shirt know may right advice try wearing fitting room check whether loo,neutral,{'fit': 'positive'}
not flattering large top made well cute thin no boob person,neutral,{'fit': 'positive'}
thick material also airy got white worry see little boxy hem hit good length bother really great work summer going really hot really cold temperature good basic piece dressed definitely worth getting,positive,"{'quality': 'positive', 'price': 'positive'}"
already got lot compliment first day wore skirt great fun shape flattering however panel sewn using type hard plastic thread becomes itchy sit literally feel liner concerned time might actually rip poor attention detail,neutral,{}
really like style cute stripe love versatility design shirt fit true size hide stomach right place,positive,{'fit': 'positive'}
ordered coat pink color actually coal color papaya wonderful gray black khaki great animal print accessory fit look online no surprise coat attractive buttoned unbuttoned collar attractive buttoned unbuttoned boiled wool light weight stretch much softer boiled wool geiger jacket anyone remembers one concern since wool light,positive,{'fit': 'positive'}
tried store tried regular medium way big except chest really tight material little itchy maybe chest tight color lovely pink im sure someone love petite would order petite maybe size busty,neutral,"{'quality': 'positive', 'fit': 'positive'}"
great buy bought cream jumpsuit small bottom larger top perfect fit tight flow lot room linen adjustable button front adjustable back jumpsuit leg wide flowy casual classy side button hip great addition closet unique right,positive,{'fit': 'positive'}
got green one reviewer commented yes fabric thin however wear nude bra nude cami nothing compliment,positive,{'quality': 'positive'}
online photo not skirt justice agree previous poster normally never buy anything brown pop teal magenta throughout see gorgeous shimmer interesting layered color online addition skirt stretch waistband plus holiday flattering not tight show enough curve physique like skirt longer well look cute boot purchased size medium,positive,{'fit': 'positive'}
dress incredibly soft sleeve rolled extremely versatile dress comfortable mostly fit true size found ever slightly snug hip first however somewhat difficult fit accentuated hourglass figure overall happy purchase look forward wearing travel,positive,{'fit': 'positive'}
one favorite comfy cute summer color beautiful berry color also love length feel little longer typical top love,positive,{}
dress overwhelmed foot tall print material took,negative,{'quality': 'positive'}
adorably gorgeous swing dress fabric soft flowy everything swing dress concerned would short perfect length fun still classy nice chunky eccentric bib necklace nude sandal wedge would complete outfit beautifully highly recommend,positive,"{'quality': 'positive', 'fit': 'positive'}"
received mail must say one favorite purchase long time retailer navy polka dot color combo classic yet fun orange look great well cardy heavy rotation,positive,{}
based others review knew needed try beauty sure size others mentioned run size large unlike others feel need belt waist body style super short not super slim waist also busty perfect boho fit perfect drape design quality superb boot,positive,"{'quality': 'positive', 'fit': 'positive'}"
,positive,{}
bought store safe thought would try ordering confirm size good idea b variable result trying order size chart large looked nice slightly large chest directly compared medium seems major difference length large longer medium not find either itchy construction seems totally ok,positive,{'fit': 'positive'}
great fit smooth comfortable material wrinkle nothing iron fix beautiful color got teal black,positive,"{'quality': 'positive', 'fit': 'positive'}"
dress beautiful received many compliment form fitting comfortable right mix classy sexy easily dress formal occasion keep simple lb athletic build size fit perfectly wearing dress year come,positive,{'fit': 'positive'}
worn top legging straight leg jean look great almost like shirt not clingy way style large fit great hid leftover baby belly still looked stylish flat boot complaintbis armhole cut low side bra visible overall well worth,positive,"{'price': 'positive', 'fit': 'positive'}"
excited find shirt sale local retailer store not notice high percentage rayon fabric caused shirt shrink significantly wash even following washing instruction washed cold woolite half length initially disappointed make shirt withstand washing,negative,{'quality': 'positive'}
flowy comfy plaid dress perfect fall winter front much shorter back front nearly short work pair tights dress cami slip underneath needed blue detailing across chest center sheer adding special dress made less casual based accessory footwear,positive,{'fit': 'positive'}
kind excited little number found online immediately drawn boho chic look arrived impressed weight dress detailing missed photo,positive,{'delivery': 'positive'}
want love shirt really huge top tent like would adorable skinny jean however length back dip low top kind reminds pajama color beautiful like light grey heather white piping like shimmery ribbon material overall top cute dip low back bow weighs back shirt make hard adjust front sadly return,negative,{'quality': 'positive'}
coat nice soft color great reason gave star not run huge normally wear size small medium top like bit moving room coat ordered medium put started laughing huge wanted exchange x see would small enough already sold size think could big win larger size unfortunately,positive,{'fit': 'positive'}
lot reviewer saying dress simply busy wearable right love cut fit dress love style awesome stylist retailer told take belt try ribbon like one charisma sheath much cute completely changed look dress made look classy belt look cheap person little hoochie mamma wear dress,neutral,"{'price': 'positive', 'fit': 'positive'}"
really love shirt fit like picture show run tt color beautiful red bitter richer darker person look online,positive,{'fit': 'positive'}
cute little top easily worn shoulder shoulder comfortable soft quite flattering hang nicely pretty white top come handy spring summer stayed tt one could sized,positive,{'fit': 'positive'}
got green motif color really multi color blue orange purple yellow green brown fabric gauzy sheer nice breezy summer subtle stitching detail shoulder ordered usual size medium fit well shoulder arm hole extremely billowy body take couple inch side make little less full still swing not quite much,positive,"{'quality': 'positive', 'fit': 'positive'}"
first tiny shirtdress purchase seeing past pattern season last little busy something pattern season felt right summer found usual long length sleeve length sleeve problem never going try exchange x really lovely piece color though slightly prefer green feel tropical exotic summe,positive,{}
love simple non fussy style dress note color not ivory described expected not first time retailer make mistake however still found oatmealish warm beige color flattering skin tone warm tone look best like shoulder covered still feeling sleeveless give dressier feel fine texture lovely drape top bottom cling bit not overly much feel immodest,positive,{}
saw local store last night instantly drawn color greenish yellow say alot much prettier person would not look twice online picture no justice not pancho person look luxurious expensive feel soft warm tried x fit perfect typically medium brand antrho boxy point sweater type p,positive,"{'price': 'positive', 'fit': 'positive'}"
really cute really comfy great color love oversize button around great skirt nice shade go right fall several style skirt love,positive,{'fit': 'positive'}
purchased adorable drop waist dress line personally found fit tt regular size small length front hit right top knee perhaps tad longer not short back longer length also detachable matching cotton slip snap dress adjustable strap hit knee love dress made cotton color picture,positive,{'fit': 'positive'}
love style jacket curious see hold rain well made cute detail run large,positive,"{'quality': 'positive', 'fit': 'positive'}"
agree reviewer versatility fit dress yes pocket hit tad high fit bodice bust great willing overlook small flaw thing really bothered dress seen anyone else comment slightly strange odor denim maybe happens particular dress noticed strange smell pair seven jean purcha,positive,{'fit': 'positive'}
dress adorable purchased black white wear daughter bridal shower received many compliment comfortable stylish best wrinkle free actually ordered online got dress required no ironing kind love think may get red also,positive,{}
beautiful soft well made cropped cardigan house retailer branding color muted person work many different skirt pant including jean many idea lovely cardigan size medium dd chest lb inch perfect sleeve bellow bit give cardigan nice sharp look agree reviewer color type quality character please season ahead lo,positive,"{'quality': 'positive', 'fit': 'positive'}"
used walk dress thinking not much one day realized bow im complete sucker tried fell love tried went run tt dress large bow flip see much gaping back dress somewhere shift sheath silhouette hair pinned teased japanese bun great black heel valentine date fell dress said r,positive,{'fit': 'positive'}
not sure yet reordered larger size hit much higher shown belly peeked ordered normally small like design really short,neutral,{'fit': 'positive'}
dig jacket much wear like thick shirt jacket removable collar give even versatility short opted regular x ft b waist hip bit spandex stretch help achieve fitted look without looking tight love military green color happier neutral black brown without saying go everything flatters body type,positive,{'fit': 'positive'}
print top even gorgeous person fit great removable halter strap always plus swim top however padding material slightly thin could cause issue overall however looked great reference cup purchase small,positive,"{'quality': 'positive', 'fit': 'positive'}"
sweater drape beautifully beware pretty light weight feel poly nylon wool dont know could wear top sleeve underneath either probably work best cami said love style note sweater pretty long normally p regular size came knee lp perfect cover tush adequate room curve,positive,{'fit': 'positive'}
beautiful dress unfortunately woman not well endowed extremely well fitted chest high waste also pouf due lot extra material double lining beautiful dress poor construction also bright blue yellow bead chest area bizarre combo coral brown fabric normally retailer extremely small,negative,"{'quality': 'positive', 'fit': 'positive'}"
ordered online white received love wear clothing size dress jacket fit perfectly would love one peach color shown pic review stating much deeper colour decided,positive,{'fit': 'positive'}
,positive,{}
lb petite fit tt fabric comfortable dress well made complaint would picture model dress possession not coloured slip dress arrived nude slip little confused first tried dress realized not bad thing lace actually stand greal buy discount make worth,positive,"{'quality': 'positive', 'price': 'positive', 'fit': 'positive', 'delivery': 'positive'}"
ordered online disappointed arrived look quite like photo online also run small returned not feel worth high price,negative,"{'price': 'positive', 'fit': 'positive', 'delivery': 'positive'}"
loved style shirt much bought two unfortunately washing turquoise one sprang several hole thing happened second one one wash purchased several shirt tank style past summer washed worn great think fabric quality craftsmanship gone way downhill retailer lately disappointed,negative,"{'quality': 'positive', 'delivery': 'positive'}"
,positive,{}
love henely lace cute shirt comfy versatile beach coverup jean,positive,{}
sweater instantly become favorite incredibly soft detailing delicate feminine fit cozy flattering body definitive swing cut arm slim though not tight find loose body slim arm combination flattering forgiving run buy love anywhere get cold foggy dark guaranteed go,positive,{'fit': 'positive'}
bought online get something purple family deeper hue pictured others noted variation color cute jean definitely upgrade boring old one word wise saw pink store today definitely not pink orange lb b bought x perfect,positive,{}
cute dress fit well bust not loose model run short solid size,positive,{'fit': 'positive'}
love design tiny blouse wish could make durable owned several blouse past use little pin secure button line pulling breast area delicate washing come apart seam ironing steaming must blouse no exception went back pulling bust willing take extra care clothing busy schedule,neutral,{}
dress white worn twice completely different event wore red heel dressy look boot jean jacket casual look hit knee soft white appropriate winter wear love,positive,{}
jean fit like thought based model usually wear snug snug jean lot wanted looser flared jean kind look not bigger size improved perfectly good jean love color not wanted,positive,{'fit': 'positive'}
stop wearing perfect layering fit great loose not bag love wide open knit,positive,{'fit': 'positive'}
feel like brand good coming dress flattering feel like tend fit body well like design dress lot make feel like walking along beach get mood summer perfect casual everyday dress summer love color scheme understated reinforces could warn anywhere even everyday use strip perfect look dress,positive,{'fit': 'positive'}
like baby doll top almost empire waist going feel comfortable super flowy got size swing l brand button stitching bit loose fray wear tell borderline taking back still hidden side pocket crazy like fluke something would fit piece paper tissue not key phone though,neutral,{'fit': 'positive'}
ordered size large however large chest large well nighty barley covered chest region rest body fit well,negative,{'fit': 'positive'}
shirt run little big bought niece usually wear medium small fit tall nice length comfortable perfect staple send college paired nouveau belt silver option wear great buy niece athletic build,positive,{'fit': 'positive'}
