row_index,sentence_id,aspect,sentence,proxy_label,rating,label_source,verdict
16908,2,fit,"it fits me perfectly...i almost invariably wear a size 6 in retailer dresses and tops, which gave me the confidence to order online, and this dress is true to size.",positive,5,rating,
19033,1,shipping,it arrived today and it fits perfect.,positive,5,rating,
16418,2,fit,"the bottom is a little loose like in the models photo, but i really like it.",positive,5,rating,
20069,2,fit,"i normally wear a 10 (5'8, 160lbs), and the 10 fit, but it is so fitted that i didn't like how it showed everything.",positive,4,rating,
10398,1,fit,"i have a large chest, but the similarly cut blouse (without the textured fabric - from the same designer) fit me fine.",negative,2,rating,
7196,1,quality,"soft and cozy fabric, nice and sturdy feeling.",positive,5,rating,
18100,3,fit,i ordered the xs petite and it was still a little loose.,positive,5,rating,
9119,1,quality,the material is extremely fragile; with small kids i knew this would be snagged all over after my first day of wearing it.,neutral,3,model_relabel,
9256,2,fit,"the length is good, but i am short 5'1"" and 105 lbs- xs fit pretty well.",positive,5,rating,
16454,4,price,definitely worth giving them a try if you're okay with the,positive,4,rating,
9952,3,quality,"love the fabric, fit and style of this dress.",positive,5,rating,
21846,1,fit,"i am 5'8 and normally do a size large in retailer, but based on the previous review i sized down.",neutral,3,model_relabel,
3385,1,fit,very form fitted and flattering.,positive,4,rating,
1976,3,fit,"it's made of high quality fabric, there's a soft inner lining with a side zip closure, and it has a pretty narrow profile so initially i found it a little snug to wiggle into (i got a small), but once on it fit perfectly, and is so flattering i can't imagine why other",positive,5,rating,
19840,1,price,"for the rich price tag, these pants weren't going to be versatile enough for me.",positive,4,rating,
6540,1,fit,it is exactly as pictured and has a very flattering fit.,positive,5,rating,
16908,4,quality,the fabric is supple and hangs gracefully without clinging to my not-so-perfect waistline.,positive,5,rating,
8840,4,fit,"if i go up a size, it might be too much fabric and pleated swing around the waist.",positive,4,rating,
5062,0,price,Even on sale sale...this tank is not worth the money.,negative,1,rating,
3491,2,fit,i'm 5'8 and normally a ddd usually a large too...so i worried about the size - the medium fits great everywhere,positive,5,rating,
5200,2,fit,fits perfectly for me one size up.,positive,4,rating,
8331,0,quality,"This is made of soft, sweatshirt material.",positive,4,rating,
7217,4,fit,the arm holes and the rest of the fitting is just perfect.,positive,5,rating,
14917,0,fit,This is the tiniest blazer i've ever purchased in a size 10.,negative,1,rating,
1635,3,fit,the fit is more flowing than form fitting.,positive,4,rating,
5155,4,fit,fit is comfortable.,positive,5,rating,
1590,0,fit,Normally i am a size 10 or 12 but i sized down to a small.,positive,5,rating,
8652,2,fit,"i am petite, 5'2"", 100 lbs or a little less, and i got the xsma?l size.",positive,5,rating,
16789,2,fit,"the romper is loose, yet fitted and very cute.",positive,5,rating,
5515,2,quality,"the fabric is nice and the pattern and colors are nice too, just not on porcelain skin...",positive,3,model_relabel,
18259,1,quality,the quality of the fabric is great and the draped design of it is so chic!,positive,5,rating,
21206,1,quality,i wouldn't call this pattern fabric purple though.,positive,5,rating,
18420,1,quality,"fabric is gorgeous,with perfect amount of shine and luxury to it.",negative,1,rating,
2388,5,quality,"and, the fabric is nice and cool for hot summer days.",positive,4,rating,
17031,4,fit,looked like it could fit my husband.,neutral,3,model_relabel,
21200,0,fit,"I wish this fit more to the body, it really does flare out a lot,a adding volume to the person wearing it.",positive,3,model_relabel,
12335,2,quality,"when it arrived in the mail, the feel of the fabric was great and i slipped it on and it was so comfy i felt like i was wearing a nightdress.",negative,2,rating,
12793,0,fit,I ordered the green version in size xl.,positive,4,rating,
6392,4,quality,i purchased it in the gold color which is beautiful and the fabric is light and very comfortable.,positive,5,rating,
16956,7,fit,i left it untucked and loose like in the photo and it was very flattering.,positive,5,rating,
